tempObjectNumber: 21, Title: Earring crescent-shaped,  Date: 5th–4th century B.C.,  Culture: Etruscan,  Medium: Gold,  Dimensions: Other: 5/8 × 1/8 × 7/16 in. (1.6 × 0.3 × 1.2 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.159
tempObjectNumber: 22, Title: Fragment of a marble anthropoid sarcophagus,  Period: Classical,  Date: ca. 450–425 B.C.,  Culture: Greek,  Medium: Marble,  Dimensions: depth 9 3/4 in. (24.8 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1911,  Accession Number: 11.54
tempObjectNumber: 23, Title: Terracotta jug,  Date: 2nd half of the 1st century B.C.,  Culture: Roman,  Medium: Terracotta; Pergamene lead-glazed ware,  Dimensions: Other: 5 7/16in. (13.9cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.190.2068
tempObjectNumber: 24, Title: Terracotta statuette of a female figure,  Period: Cypro-Classical I,  Date: late 5th century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 6 3/16 in. (15.7 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1574
tempObjectNumber: 25, Title: Bowl,  Period: Archaic,  Date: ca. 750–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: diameter  5 in. (12.7 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.372
tempObjectNumber: 26, Title: Terracotta rattle (?) in the form of an owl,  Period: Late Cypriot IB,  Date: ca. 1600–1450 B.C.,  Culture: Cypriot,  Medium: Terracotta; White Painted Ware,  Dimensions: H. 3 7/8 in. (9.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1435
tempObjectNumber: 27, Title: Vase fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 1 3/4 x 1 15/16in. (4.4 x 5cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.182
tempObjectNumber: 28, Title: Terracotta lamp,  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Terracotta; mold-made,  Dimensions: Overall: 4 3/4 x 11 11/16 in. (12.1 x 29.7 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.286
tempObjectNumber: 29, Title: Pinhead,  Medium: Glass,  Dimensions: Height: 1/4 x 3/4 in. (0.7 x 1.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.631
tempObjectNumber: 30, Title: Pendant,  Period: Archaic,  Date: late 6th–5th century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Height: 11/16 in. (1.8 cm),  Classification: Gold and Silver,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1992,  Accession Number: 1992.266.18
tempObjectNumber: 31, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 3/4 x 13/16 in. (1.9 x 2.1 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5800
tempObjectNumber: 32, Title: Vase fragment,  Period: Helladic,  Culture: Aegean,  Medium: Terracotta,  Dimensions: 1 13/16 × 3 3/4 × 5/16 in. (4.6 × 9.6 × 0.8 cm),  Classification: Vases,  Credit Line: Anonymous Gift 1933,  Accession Number: 33.138.24
tempObjectNumber: 33, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: black jasper,  Dimensions: Other: 5/16 x 5/16 x 1/16 in. (0.8 x 0.8 x 0.2 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.133
