tempObjectNumber: 21, Title: Ring plaited,  Medium: Gold,  Dimensions: Diameter: 7/8 × 1/8 in. (2.3 × 0.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4077
tempObjectNumber: 22, Title: Glass jar,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown and trailed,  Dimensions: H.: 2 1/4 in. (5.7 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.80
tempObjectNumber: 23, Title: Marble fragment of a volute krater,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: H. 11 1/4 in. (28.5 cm),  Classification: Stone Sculpture,  Credit Line: Purchase David L. Klein Jr. Memorial Foundation Inc. and Nicholas S. Zoullas Gifts 1997,  Accession Number: 1997.111
tempObjectNumber: 24, Title: Gold roundel,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diam.: 1 7/16 in. (3.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3021
tempObjectNumber: 25, Title: Terracotta bowl fragments with graffito inscription,  Date: ca. 3rd century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: 3 1/4 × 2 13/16 × 1/4 in. (8.2 × 7.1 × 0.7 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.217
tempObjectNumber: 26, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Overall: 1 1/8 x 3 3/4 in. (2.9 x 9.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2020
tempObjectNumber: 27, Title: Bronze statuette of a recumbent lion,  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: H. 15/16 in. (2.4 cm),  Classification: Bronzes,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.85
tempObjectNumber: 28, Title: Terracotta neck-amphora (storage jar),  Period: Archaic,  Date: ca. 540 B.C.,  Culture: Rhodian (Fikellura),  Medium: Terracotta,  Dimensions: H. 9 7/8 in. (25 cm),  Classification: Vases,  Credit Line: Gift of Mr. and Mrs. J. J. Klejman 1965,  Accession Number: 65.73.2
tempObjectNumber: 29, Title: Terracotta vase in the form of a bull,  Period: Late Cypriot II,  Date: ca. 1450–1200 B.C.,  Culture: Cypriot,  Medium: Terracotta; Base-Ring ware,  Dimensions: Overall: 4 7/8 x 6 11/16 in.  (12.4 x 16.99 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.826
tempObjectNumber: 30, Title: Body of a terracotta vase,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek Sicilian Centuripe,  Medium: Terracotta,  Dimensions: H. 15 3/4 in. (40 cm.); diameter  14 1/2 in. (36.83 cm.),  Classification: Vases,  Credit Line: Fletcher Fund 1929,  Accession Number: 29.131.2
