tempObjectNumber: 21, Title: Bronze arrowhead,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: length  2 5/8in. (6.7cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5328
tempObjectNumber: 22, Title: Lekythos,  Attribution: the manner of the Aischines Painter,  Period: Classical,  Date: ca. 450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Height: 5 5/16 in. (13.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.136
tempObjectNumber: 23, Title: Terracotta vessel in the shape of a bent leg,  Period: Archaic,  Date: ca. 550–500 B.C.,  Culture: Etruscan,  Medium: Terracotta; bucchero pesante,  Dimensions: length including leg  6 1/16 in. (15.4 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.134
tempObjectNumber: 24, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 1/2 × 1 7/8 × 3/16 in. (3.8 × 4.7 × 0.4 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.201
tempObjectNumber: 25, Title: Glass perfume bottle,  Period: Early Imperial,  Date: early to mid-1st century A.D.,  Culture: Roman,  Medium: Glass; blown with marvered trails,  Dimensions: H.: 6 3/16 in. (15.7 cm),  Classification: Glass,  Credit Line: Bequest of George D. Pratt 1935,  Accession Number: 37.128.7
tempObjectNumber: 26, Title: Carnelian Amygdaloid,  Period: Middle Minoan III–Late Minoan I,  Date: ca. 1650–1500 B.C.,  Culture: Minoan,  Medium: Carnelian,  Dimensions: H.: 1/2 in. (1.2 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.210
tempObjectNumber: 27, Title: Lion figurine,  Period: Late Hellenistic–Early Roman,  Date: 1st century B.C.–1st century A.D.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 4 in. (10.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1749
tempObjectNumber: 28, Title: Terracotta stand,  Period: Archaic,  Date: 6th century B.C.,  Culture: Etruscan,  Medium: Terracotta; bucchero pesante,  Dimensions: 3 9/16in. (9.1cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.102
tempObjectNumber: 29, Title: Glass jar,  Period: Early to Mid Imperial,  Date: mid-1st–mid-2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 3 7/8 in. (9.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.178
tempObjectNumber: 30, Title: Krater,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 6 1/2in. (16.5cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.381
tempObjectNumber: 31, Title: Gold appliqués,  Period: Early Hellenistic,  Date: late 4th–3rd century B.C.,  Culture: Greek South Italian,  Medium: Gold,  Dimensions: Diam.: 3/4 in. (1.9 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.325
tempObjectNumber: 32, Title: Pendant: head of Herakles,  Period: Classical,  Date: 5th century B.C.,  Culture: Etrusco-Campanian,  Medium: Amber,  Dimensions: H.: 7/8 in. (2.2 cm),  Classification: Miscellaneous-Amber,  Credit Line: Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,  Accession Number: 1992.11.19
tempObjectNumber: 33, Title: Jug,  Period: Early Cypriot,  Date: 2500–1900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 19 5/16in. (49.1cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1189
tempObjectNumber: 34, Title: Gold silver garnet and pearl pin,  Period: Archaic,  Date: 6th century B.C.,  Culture: East Greek,  Medium: Gold silverbronzepearlgarnet,  Dimensions: H. 5 7/16 in. (13.9 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1978,  Accession Number: 1978.11.19
tempObjectNumber: 35, Title: Vase fragment,  Period: Helladic,  Culture: Aegean,  Medium: Terracotta,  Dimensions: 1 5/16 × 1 7/8 × 1/4 in. (3.4 × 4.8 × 0.7 cm),  Classification: Vases,  Credit Line: Anonymous Gift 1933,  Accession Number: 33.138.16
tempObjectNumber: 36, Title: Glass amphoriskos (perfume bottle),  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 3 1/2 in. (8.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.771
tempObjectNumber: 37, Title: Seal,  Culture: Minoan Crete,  Medium: Carnelian agate,  Dimensions: Other: 5/8 x 13/16 x 3/8 in. (1.5 x 2 x 0.9 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.212
tempObjectNumber: 38, Title: Amulet Isis,  Medium: Clay glazed,  Dimensions: Other: 1 1/8 x 1/4 x 7/16 in. (2.9 x 0.6 x 1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4478
tempObjectNumber: 39, Title: Juglet,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 3 5/8in. (9.2cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.567
tempObjectNumber: 40, Title: Gold earring with elongated body,  Period: Late Archaic,  Date: 6th–5th century B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 1 1/2 in. (3.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3166
tempObjectNumber: 41, Title: Glass alabastron (perfume bottle),  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 3 13/16 in. (9.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.757
tempObjectNumber: 42, Title: Glass perfume bottle,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: Diameter: 7/8 in. (2.2 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.191
tempObjectNumber: 43, Title: Rod dipping or pin,  Medium: Bronze,  Dimensions: Other: 5 5/8 in. (14.3 cm),  Classification: Bronzes,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.276
tempObjectNumber: 44, Title: Earring disc,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diameter (A): 1 1/8 x 3/16 in. (2.9 x 0.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3381a
tempObjectNumber: 45, Title: Juglet,  Period: Early Cypriot,  Date: 2500–1900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 6 3/8in. (16.2cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1199
