tempObjectNumber: 22, Title: Glass intaglio,  Culture: Greek or Roman,  Medium: Glass yellow,  Dimensions: Other: 3/4 x 11/16 x 3/8 in. (1.9 x 1.8 x 0.9 cm),  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.42
tempObjectNumber: 23, Title: Gold glass base of a beaker,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Glass gold; blown with applied gold foil,  Dimensions: Overall: 3 7/16 x 3 1/4 x 3/16 in. (8.8 x 8.2 x 0.5 cm),  Classification: Glass,  Credit Line: Fletcher Fund 1928,  Accession Number: 28.57.24
tempObjectNumber: 24, Title: Terracotta relief bust of a woman,  Period: Classical,  Date: 2nd half of the 5th century B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: H. 6 1/8 in. (15.6 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.67
tempObjectNumber: 25, Title: Pinhead,  Culture: Roman,  Medium: Glass,  Dimensions: Height: 7/16 x 5/8 in. (1.1 x 1.6 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.534
tempObjectNumber: 26, Title: Terracotta oinochoe (jug),  : Resembles the Group of Vienna O.565 in shape,  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: H. with handle 10 in. (25.4 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.31
tempObjectNumber: 27, Title: Amethyst oval,  Period: Late Hellenistic or Augustan,  Date: 1st century B.C.–1st century A.D.,  Culture: Greek or Roman,  Medium: Amethyst,  Dimensions: H.: 1 13/16 in. (4.6 cm),  Classification: Gems,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.170
tempObjectNumber: 28, Title: Limestone statuette of a beardless male votary with a conical helmet,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 19 x 4 7/8 x 2 1/2 in. (48.3 x 12.4 x 6.4 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2556
tempObjectNumber: 29, Title: Cylindrical glass bottle,  : Signed by Frontinus,  Period: Late Imperial or Late Antique,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Glass; blown in a three-part mold,  Dimensions: H.  7 1/2 in (19.1 cm.) diamter 3 1/8 in. (7.9 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.50
tempObjectNumber: 30, Title: Gold and copper alloy spiral,  Period: Classical,  Date: 5th century B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 9/16 in. (1.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3346
tempObjectNumber: 31, Title: Terracotta statuette of an old nurse and a child,  Period: Late Classical or Early Hellenistic,  Date: 4th century B.C.,  Culture: Greek Boeotian or Attic,  Medium: Terracotta,  Dimensions: H. 3 in. (7.59 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1938,  Accession Number: 38.11.1
