tempObjectNumber: 1, Title: Lead figure of a horseman,  Period: Archaic,  Date: 6th–5th century B.C.,  Culture: Greek Laconian,  Medium: Lead,  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.101
tempObjectNumber: 2, Title: Terracotta relief with head of a woman,  Period: Classical,  Date: ca. 500–450 B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: 4 1/8 in. x 3 in. (10.5 cm x 7.6 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.164.24
tempObjectNumber: 3, Title: Bronze fitting decorated with a bust of Neptune,  Period: Imperial,  Date: ca. 1st–2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 6 3/16 in. (15.7 cm); W. at front 6 1/8 in. (15.6 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1916,  Accession Number: 16.174.46
tempObjectNumber: 4, Title: Kylix fragments,  Attribution: the Painter Z,  Period: Classical,  Date: ca. 480–470 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1976,  Accession Number: 1976.181.4
tempObjectNumber: 5, Title: Kylix,  Attribution: the Epeleios Painter,  Period: Archaic,  Date: ca. 520–500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Other: 12 5/8in. (32.1cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.71
tempObjectNumber: 6, Title: Ornament flower-shaped mount for stone bead,  Medium: Gold,  Dimensions: Height: 7/16 x 1/16 in. (1.1 x 0.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3650
tempObjectNumber: 7, Title: Faience amulet in the form of a lion-headed deity,  Period: Late Dynastic–Hellenistic,  Date: 664–30 B.C.,  Culture: Egyptian,  Medium: Clay glazed,  Dimensions: H.: 2 7/8 in. (7.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4492
tempObjectNumber: 8, Title: Terracotta oinochoe (jug) in the form of a woman's head,  Attribution: the Cook Class of Head Vases,  Period: Classical,  Date: 2nd quarter of 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 7 5/16 in. (18.6 cm),  Classification: Vases,  Credit Line: Purchase 1901,  Accession Number: 01.8.7
tempObjectNumber: 9, Title: Vase fragment,  Period: Early Minoan II,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 1/4 × 2 1/2 × 5/16 in. (3.1 × 6.3 × 0.7 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.134
tempObjectNumber: 10, Title: Glass head pendant,  Period: Archaic or Classical,  Date: 6th–5th century B.C.,  Culture: Phoenician or Carthaginian,  Medium: Glass; rod-formed and trailed,  Dimensions: Other: 3/4 x 5/8 x 1/2 in. (1.9 x 1.6 x 1.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.647
tempObjectNumber: 11, Title: Terracotta statuette of a woman,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek Corinthian,  Medium: Terracotta,  Dimensions: H. 7 1/2 in. (19.1 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.20
tempObjectNumber: 12, Title: Jar,  Period: Early Cypriot,  Date: 2500–1900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 8 1/16in. (20.5cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1168
tempObjectNumber: 13, Title: Lamp concave top,  Date: 1st century B.C.–1st century A.D.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 x 3 9/16 in. (2.5 x 9.1 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1827
tempObjectNumber: 14, Title: Bronze helmet of South Italian-Corinthian type,  Period: Late Classical or Hellenistic,  Date: mid-4th–mid-3rd century B.C.,  Culture: Greek,  Medium: bronze,  Dimensions: depth  10 1/2 in. (26.7 cm),  Classification: Bronzes,  Credit Line: Bequest of Bill Blass 2002,  Accession Number: 2003.407.5
tempObjectNumber: 15, Title: Earring-hook type with pendant,  Medium: Gold,  Dimensions: Other: 5/16 × 3/8 × 1 1/16 in. (0.7 × 1 × 2.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3963
tempObjectNumber: 16, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Overall: 1 5/8 x 3 1/2 in. (4.1 x 8.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2034
tempObjectNumber: 17, Title: Terracotta bowl,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Campanian,  Medium: Terracotta; black-glaze,  Dimensions: diameter  5 1/2 in. (14 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.273a
tempObjectNumber: 18, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 7/8 x 5/8 in. (2.2 x 1.5 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.2025
tempObjectNumber: 19, Title: Gold and carnelian ring: on scarab bezel Herakles,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Etruscan,  Medium: Gold carnelian,  Dimensions: Diam.: 15/16 x 3/8 in. (2.4 x 1 cm),  Classification: Gold and Silver,  Credit Line: Harris Brisbane Dick Fund 1940,  Accession Number: 40.11.15
