tempObjectNumber: 1, Title: Alabaster alabastron (perfume vase),  Period: Archaic or Classical,  Date: 6th–5th century B.C.,  Culture: Cypriot,  Medium: Calcite (alabaster),  Dimensions: H. 6 7/8 ; Diam. 2 7/8 in. (17.5 x 7.3 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5086
tempObjectNumber: 2, Title: Glass oinochoe (perfume jug),  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 3 3/4 in. (9.5 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.794
tempObjectNumber: 3, Title: Ring with head of a fauness,  Medium: Gold,  Dimensions: Other: 3/4 × 5/16 × 13/16 in. (1.9 × 0.8 × 2 cm),  Classification: Gold and Silver,  Credit Line: Fletcher Fund 1927,  Accession Number: 27.122.26
tempObjectNumber: 4, Title: Kalathos,  Period: Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta,  Dimensions: Diameter: 6 3/8 × 2 13/16 in. (16.2 × 7.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1966,  Accession Number: 66.11.15
tempObjectNumber: 5, Title: Terracotta lydion (perfume jar),  Period: Archaic,  Date: 6th century B.C.,  Culture: Lydian,  Medium: Terracotta,  Dimensions: diameter  2 15/16 in. (7.5 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.64
tempObjectNumber: 6, Title: Pin,  Culture: Roman,  Medium: Bronze,  Dimensions: Other: 10 7/8 in. (27.6 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.109
tempObjectNumber: 7, Title: Bronze knife,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Minoan,  Medium: Bronze,  Dimensions: L. 5 in. (12.7 cm.),  Classification: Bronzes,  Credit Line: Gift of American Exploration Society 1907,  Accession Number: 07.232.9
tempObjectNumber: 8, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 1/16 × 2 1/16 × 1/4 in. (2.7 × 5.2 × 0.6 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.161
tempObjectNumber: 9, Title: Terracotta volute-lamp with sea monster,  Period: Imperial,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: H. 1 3/8 in. (3.5 cm.),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2103
tempObjectNumber: 10, Title: Gold roundel with stamped designs,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diam.: 1 7/16 in. (3.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3020
tempObjectNumber: 11, Title: Jug,  Period: Late Cypriot,  Date: 1600–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 9 7/16in. (24cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1125
