tempObjectNumber: 22, Title: Kylix Fragment,  Attribution: the Penthesilea Painter,  Period: Classical,  Date: ca. 470–460 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1979,  Accession Number: 1979.277
tempObjectNumber: 23, Title: Limestone Herakles,  Period: Archaic,  Date: ca. 530–520 B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H. 85 1/2 in. (217.2 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2455
tempObjectNumber: 24, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Diameter: 1 3/16 × 11/16 in. (3 × 1.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.562
tempObjectNumber: 25, Title: Limestone statuette of a beardless male votary holding a bird,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 17 5/8 x 6 1/4 x 2 3/16 in. (44.8 x 15.9 x 5.6 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2668
tempObjectNumber: 26, Title: Bronze statuette of a bird of prey,  Period: Geometric or Archaic,  Date: 8th–7th century B.C.,  Culture: Cypriot,  Medium: Bronze glass paste,  Dimensions: L. 5 3/8 in. (13.6 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5571
tempObjectNumber: 27, Title: Lamp,  Date: 2nd century A.D.,  Medium: Terracotta,  Dimensions: Length 8.1 cm.  H. 3.8 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1950
tempObjectNumber: 28, Title: Vase fragment,  Period: Helladic,  Culture: Greek Laconian,  Medium: Terracotta,  Dimensions: 2 3/8 x 7/8in. (6 x 2.2cm),  Classification: Vases,  Credit Line: Gift of A. J. B. Wace 1923,  Accession Number: 23.119.7
tempObjectNumber: 29, Title: Vase fragment,  Period: Early Minoan II,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 2 1/4 × 3 7/16 × 5/16 in. (5.7 × 8.7 × 0.8 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.155
tempObjectNumber: 30, Title: Intaglio,  Culture: Roman,  Medium: Jasper red,  Dimensions: Other: 7/16 x 5/16 x 1/8 in. (1.1 x 0.9 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.818
tempObjectNumber: 31, Title: Statuette of a fat boy (dwarf ?),  Period: Archaic,  Date: ca. 540–530 B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 2 7/8 in. (7.37 cm),  Classification: Terracottas,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1993,  Accession Number: 1993.206
tempObjectNumber: 32, Title: Vase fragment,  Culture: Roman Gaul,  Medium: Terracotta,  Dimensions: 2 15/16 × 3 1/4 × 5/16 in. (7.4 × 8.3 × 0.8 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1961
tempObjectNumber: 33, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Sard,  Dimensions: Other: 1/2 x 5/8 x 1/16 in. (1.3 x 1.6 x 0.2 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.156
tempObjectNumber: 34, Title: Dagger blade,  Period: Early Bronze Age,  Date: ca. 3000–2000 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: 14in. (35.6cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5305
tempObjectNumber: 35, Title: Chlorite pestle,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Chlorite,  Dimensions: H. 3 1/16 in. (7.8 cm),  Classification: Miscellaneous-Stone,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5034
