tempObjectNumber: 1, Title: Kylix fragment,  Attribution: Douris,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: greatest dim.  6.17 cm.,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1973,  Accession Number: 1973.175.7
tempObjectNumber: 22, Title: Glass ring stone,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Italic,  Medium: Glass brown,  Dimensions: Length: 5/8 in. (1.6 cm),  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.31
tempObjectNumber: 23, Title: Silver and amber pendant,  Period: Archaic,  Date: 7th century B.C.,  Culture: Etruscan,  Medium: Amber silver,  Dimensions: Other: 2 7/8 in. (7.3 cm),  Classification: Miscellaneous-Amber,  Credit Line: Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,  Accession Number: 1992.11.26
tempObjectNumber: 24, Title: Chlorite pestle,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Chlorite,  Dimensions: H. 2 3/8 x 1 1/2 in. (6 x 3.8 cm),  Classification: Miscellaneous-Stone,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5039
tempObjectNumber: 25, Title: Skyphos,  Attribution: the Group of Altenburg 331,  Period: Late Classical,  Date: ca. 350–325 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: Diameter: 4 1/4 × 2 in. (10.8 × 5.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.213
tempObjectNumber: 26, Title: Sestertius,  Period: Early Imperial,  Culture: Roman,  Medium: Bronze,  Dimensions: Overall: 1 5/16 × 3/16 in. 0.9oz. (3.4 × 0.5 cm 26.54g),  Classification: Coins,  Credit Line: Rogers Fund 1908,  Accession Number: 08.170.118
tempObjectNumber: 27, Title: Bronze tweezers,  Period: Early Minoan II-Late Minoan III,  Date: ca. 2900–1050 B.C.,  Culture: Minoan,  Medium: Bronze,  Dimensions: L. 3 3/16 in. (8.1 cm),  Classification: Bronzes,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.468
tempObjectNumber: 28, Title: Terracotta neck-amphora (jar),  Attribution: the Paris Painter,  Period: Archaic,  Date: ca. 575–550 B.C.,  Culture: Etruscan,  Medium: Terracotta; black-figure Pontic ware,  Dimensions: H. 13 7/8 in. (35.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1955,  Accession Number: 55.11.1
tempObjectNumber: 29, Title: Earring,  Culture: Etruscan,  Medium: Gold,  Dimensions: Other: 1/4 × 1/8 × 11/16 in. (0.7 × 0.3 × 1.7 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.219
tempObjectNumber: 30, Title: Chariot fragments sockets,  Period: Archaic,  Date: ca. 500–480 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H. 1 1/16 in. (2.7 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1929,  Accession Number: 29.131.3L5–L9
tempObjectNumber: 31, Title: Terracotta neck-amphora (jar),  Attribution: the Phineus Painter,  Period: Archaic,  Date: ca. 540–520 B.C.,  Culture: Greek Chalcidian,  Medium: Terracotta; black-figure,  Dimensions: restored H. 12 5/8 in. (32 cm); preserved H. 9 in. (22.8 cm),  Classification: Vases,  Credit Line: Gift of El Conde de Lagunillas 1949,  Accession Number: 49.113
tempObjectNumber: 32, Title: Marble stele (grave marker) of Lysistrate,  Period: Late Classical,  Date: ca. 350–325 B.C.,  Culture: Greek Attic,  Medium: Marble Pentelic,  Dimensions: H. 44 3/4 in. (113.7 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1906,  Accession Number: 06.287
tempObjectNumber: 33, Title: Terracotta trozella (two-handled jar),  Period: Classical,  Date: 5th century B.C.,  Culture: Native Italic Apulian Messapian,  Medium: Terracotta,  Dimensions: H. 7 5/16 in. (18.6 cm),  Classification: Vases,  Credit Line: Gift of Mrs. Laura W. Andre 1948,  Accession Number: 48.189.2
tempObjectNumber: 34, Title: Terracotta mask,  Period: Cypro-Archaic I,  Date: end of the 7th century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made,  Dimensions: H. 5 1/2 in. (14 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1478
tempObjectNumber: 35, Title: Bronze ring key,  Period: Late Imperial or Late Antique,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H.: 1 5/8 in. (4.1 cm),  Classification: Bronzes,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.272
tempObjectNumber: 36, Title: Gold ring with intaglio of Kassandra,  Period: Classical,  Date: ca. 400–380 B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: H. of bezel 13/16 in. (2 cm),  Classification: Gems,  Credit Line: Rogers Fund 1953,  Accession Number: 53.11.2
