tempObjectNumber: 22, Title: Seal,  Culture: Minoan,  Medium: Rock crystal,  Dimensions: Diameter: 1/2 x 1/4 in. (1.3 x 0.7 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.356
tempObjectNumber: 23, Title: Earring delta-shaped,  Medium: Gold,  Dimensions: Other: 9/16 × 1/16 × 3/4 in. (1.5 × 0.2 × 2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3925
tempObjectNumber: 24, Title: Bracelet fragments,  Culture: Cypriot,  Medium: Silver,  Dimensions: Other: 1 3/4 x 1 1/16 x 3/16 in. (4.5 x 2.7 x 0.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3276
tempObjectNumber: 25, Title: Bronze helmet of Corinthian type,  Period: Archaic,  Date: late 7th–early 6th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: H. 8 1/2 in. (21.6 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.35
tempObjectNumber: 26, Title: Lampstand with hoof feet,  Medium: Bronze,  Dimensions: H.: 36 3/16 in. (91.9 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5669
tempObjectNumber: 27, Title: Terracotta statuette of a woman,  Period: Early Hellenistic,  Date: 3rd century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made and handmade,  Dimensions: H. 4 7/16 in. (11.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1718
tempObjectNumber: 28, Title: Electrotype copy of a gold bracelet,  Period: Archaic or Classical,  Date: 6th–5th century B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diameter of the bracelet: 4 1/8 in. ( 10.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3553
tempObjectNumber: 29, Title: Intaglio in ring,  Period: Hellenistic ?,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Amethyst gold,  Dimensions: Other: 13/16 x 5/8 x 3/4 in. (2.1 x 1.6 x 1.9 cm),  Classification: Gems,  Credit Line: Bequest of Rupert L. Joseph 1960,  Accession Number: 60.55.87
tempObjectNumber: 30, Title: Bronze kylix (drinking cup),  Period: Hellenistic,  Date: late 4th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: diameter  4 15/16 in. (12.6 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.130
tempObjectNumber: 31, Title: Terracotta oinochoe (jug) in the form of a woman's head,  Attribution: the Canessa Class of Head Vases,  Period: Classical,  Date: ca. 460–450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  6 1/4 in. (15.9 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.40
tempObjectNumber: 32, Title: Spiral,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diameter: 7/16 x 1/16 in. (1.2 x 0.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3113
tempObjectNumber: 33, Title: Terracotta statuette of a woman with child,  Period: Middle Cypriot,  Date: ca. 1900–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 4 1/16 in. (10.31 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1538
tempObjectNumber: 34, Title: Dagger blade,  Medium: Bronze,  Dimensions: 5 1/4in. (13.3cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5301
tempObjectNumber: 35, Title: Oinochoe,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: 8 1/8 × 4 1/2 in. (20.6 × 11.4 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.149
tempObjectNumber: 36, Title: Pendant in the form of a vase,  Culture: Etruscan,  Medium: Gold,  Dimensions: Other: 1/4 × 1/16 × 9/16 in. (0.7 × 0.2 × 1.4 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.229
tempObjectNumber: 37, Title: Vase fragment,  Period: Middle Helladic,  Date: ca. 2000–1600 B.C.,  Culture: Aegean,  Medium: Terracotta,  Dimensions: Other: 1 5/8in. (4.2cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.81
tempObjectNumber: 38, Title: Glass spacer bead,  Period: Early Imperial,  Date: early 1st century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1/4 x 1/2 x 5/8 in. (0.7 x 1.3 x 1.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.511
tempObjectNumber: 39, Title: Silver stemless cup,  Period: Hellenistic,  Date: late 4th century B.C.,  Culture: Greek South Italian,  Medium: Silver,  Dimensions: H.: 1 1/4 x 5 7/16 in. (3.2 x 13.8 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1908,  Accession Number: 08.258.53
