tempObjectNumber: 21, Title: Terracotta model of a shrine,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 3 15/16 in. (10 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1754
tempObjectNumber: 22, Title: Terracotta statuette of Artemis,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: 7 7/8 x 3 3/16 in.  (20.0 x 8.1 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.100
tempObjectNumber: 23, Title: Bronze handle of a vessel with Silenos mask,  Period: Classical,  Date: 450–400 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: Other: 5 1/2 x 5 3/4 in. (14 x 14.6 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.34
tempObjectNumber: 24, Title: Bronze lampstand,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: H. 25 3/4 in. (65.4 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5666
tempObjectNumber: 25, Title: Fragmentary bronze statuette of boy wearing a mantle,  Period: Imperial,  Date: ca. 1st–2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 2 1/4 in. (5.7 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.57
tempObjectNumber: 26, Title: Terracotta statuette of a seated woman,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Greek Rhodian,  Medium: Terracotta,  Dimensions: H. 7 in. (17.8 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1934,  Accession Number: 34.11.1
tempObjectNumber: 27, Title: Column-krater,  Attribution: the Leningrad Painter,  Period: Classical,  Date: ca. 475–465 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 39.50 cm.,  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.60
tempObjectNumber: 28, Title: Pendant: head of a satyr,  Period: Classical,  Date: 5th century B.C.,  Culture: Italic,  Medium: Amber,  Classification: Miscellaneous-Amber,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1992,  Accession Number: 1992.267.13
tempObjectNumber: 29, Title: Vase fragment,  Period: Neolithic second period,  Date: ca. 4000–3000 B.C.,  Culture: Neolithic Gonia,  Medium: Terracotta,  Dimensions: length  1 5/16in. (3.3cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.63
tempObjectNumber: 30, Title: Terracotta antefix (roof tile) with head of a woman,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Etruscan Cerveteri,  Medium: Terracotta,  Dimensions: 9 11/16 x 6 in.  (24.6 x 15.2 cm),  Classification: Terracottas,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.154
tempObjectNumber: 31, Title: Pair of gold earrings with colored beads,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: H.: 2 3/16 in. (5.6 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.5 .6
tempObjectNumber: 32, Title: Glass pendant in the form of an amphora,  Culture: Phoenician?,  Medium: Glass; rod-formed and trailed,  Dimensions: Other: 13/16 x 9/16 x 7/16 in. (2.1 x 1.4 x 1.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.477
tempObjectNumber: 33, Title: Terracotta lekythos (oil flask),  Period: Classical,  Date: 2nd quarter of 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 6 15/16 in. (17.7 cm); diameter  2 5/16 in. (5.9 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.84
tempObjectNumber: 34, Title: Terracotta calyx-krater (mixing bowl),  Attribution: the Amykos Painter,  Period: Classical,  Date: ca. 430–400 B.C.,  Culture: Greek South Italian Lucanian,  Medium: Terracotta; red-figure,  Dimensions: H. 15 1/16 in. (38.3 cm); diameter of mouth 14 9/16 in. (37 cm),  Classification: Vases,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.75
tempObjectNumber: 35, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 1 5/8 x 13/16 in. (4.1 x 2.1 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5706
