tempObjectNumber: 21, Title: Steatite signet,  Period: Middle Minoan II,  Date: ca. 1900–1750 B.C.,  Culture: Minoan,  Medium: Steatite,  Dimensions: Diameter 1.4-1.5 cm,  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.110
tempObjectNumber: 22, Title: Oinochoe fragmentary,  Period: Archaic,  Date: ca. 525–500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Overall: 2 1/8 x 2 1/4in. (5.4 x 5.7cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.219a b
tempObjectNumber: 23, Title: Copper alloy dagger blade,  Period: Early or Middle Bronze Age,  Date: ca. 2200–1800 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: 4 7/16in. (11.3cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5293
tempObjectNumber: 24, Title: Marble sarcophagus with the contest between the Muses and the Sirens,  Period: Late Imperial Gallienic,  Date: 3rd quarter of 3rd century A.D.,  Culture: Roman,  Medium: Marble Pentelic,  Dimensions: Overall: 21 3/4 x 77 1/4 x 22 1/2 in. (55.3 x 196.2 x 57.2 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1910,  Accession Number: 10.104
tempObjectNumber: 25, Title: Beads,  Culture: Cypriot,  Medium: Gold agate carnelian,  Dimensions: Other (gold turtles): 3/16 x 7/16 x 5/8 in. (0.4 x 1.1 x 1.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3303a
tempObjectNumber: 26, Title: Bronze shield boss,  Period: Archaic,  Date: 7th century B.C.,  Culture: Etruscan or Italic,  Medium: Bronze,  Dimensions: Diam.: 8 3/16 in. (20.8 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1912,  Accession Number: 12.163.1
tempObjectNumber: 27, Title: Onyx intaglio: Incantation in Greek letters,  Period: Imperial,  Date: ca. 2nd–3rd century A.D.,  Culture: Roman,  Medium: Onyx,  Dimensions: H.: 1 1/8 in. (2.8 cm),  Classification: Gems,  Credit Line: Bequest of Mary Anna Palmer Draper 1915,  Accession Number: 15.43.317
tempObjectNumber: 28, Title: Base of a terracotta lebes gamikos (jar associated with weddings),  Attribution: the Talos Painter,  Period: Classical,  Date: ca. 400 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  17 1/2 in. (44.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1912,  Accession Number: 12.229.15
tempObjectNumber: 29, Title: Bone Stamp Seal,  Period: Early Minoan II–III,  Date: ca. 2600–2000 B.C.,  Culture: Minoan,  Medium: Bone,  Dimensions: Other: 13/16 in. (2 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.63
tempObjectNumber: 30, Title: Intaglio,  Medium: Carnelian,  Dimensions: Other: 5/8 x 1/2 x 1/8 in. (1.6 x 1.3 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.240
tempObjectNumber: 31, Title: Gold pendant in the form of a vase,  Period: Classical,  Date: late 6th–5th century B.C.,  Culture: Greek or Cypriot,  Medium: Gold,  Dimensions: Other: 9/16 in. (1.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3626
tempObjectNumber: 32, Title: Gold and glass pendant,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass gold,  Dimensions: Other: 13/16 in. (2.1 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.202
tempObjectNumber: 33, Title: Spirals,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diameter: 7/16 x 1/16 in. (1.1 x 0.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3107
