tempObjectNumber: 22, Title: Terracotta hydria: kalpis (water jar),  Attribution: the Meleager Painter,  Period: Classical,  Date: early 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 17 3/16 in. (43.6 cm); diameter of mouth  6 9/16 in. (16.7 cm); diameter of foot  6 1/16 in. (15.4 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.56
tempObjectNumber: 23, Title: Statuette of a votary playing flute,  Date: ca. 1000–600 B.C.,  Medium: Terracotta,  Dimensions: H. 2 3/16 in. (5.6 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1687
tempObjectNumber: 24, Title: Terracotta Megarian bowl,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Asia Minor,  Medium: Terracotta; mold made,  Dimensions: H. 7.49 cm.,  Classification: Vases,  Credit Line: Bequest of Armida B. Colt 2011,  Accession Number: 2012.477.10
tempObjectNumber: 25, Title: Terracotta Eros,  Period: Late Classical,  Date: 1st half of the 4th century B.C.,  Culture: Greek probably Attic,  Medium: Terracotta,  Dimensions: H. 4 7/16 in. (11.3 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1054
tempObjectNumber: 26, Title: Terracotta lekythos (oil flask),  Attribution: the Diosphos Painter,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 7 11/32 in. (18.8 cm.),  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1964,  Accession Number: 64.300
tempObjectNumber: 27, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 1/2 x 7/16 x 3/16 in. (1.3 x 1.1 x 0.5 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.46
tempObjectNumber: 28, Title: Fragment of a terracotta architectural tile,  Period: Archaic,  Date: 6th century B.C.,  Culture: Lydian,  Medium: Terracotta,  Dimensions: Overall: 4 7/8 x 2 1/2 in. (12.4 x 6.4 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.75
tempObjectNumber: 29, Title: Terracotta kylix: lip-cup (drinking cup),  Period: Archaic,  Date: 3rd quarter of 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Diameter: 5 11/16 × 1 5/8 in. (14.4 × 4.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1920,  Accession Number: 20.251
tempObjectNumber: 30, Title: Buckle,  Medium: Bronze,  Dimensions: Other: 1 3/4 in. (4.4 cm),  Classification: Bronzes,  Credit Line: Purchase 1898,  Accession Number: 98.11.29
tempObjectNumber: 31, Title: Jug,  Period: Cypro-Archaic I,  Date: 750–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 12 1/8in. (30.8cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.484
tempObjectNumber: 32, Title: Electrum earring with lobes and rosettes,  Period: Archaic,  Date: 6th century B.C.,  Culture: East Greek,  Medium: Electrum,  Dimensions: Diam.: 5/8 in. (1.6 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3249
tempObjectNumber: 33, Title: Jug,  Period: Late Cypriot,  Date: 1600–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 9 1/2in. (24.1cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1368
tempObjectNumber: 34, Title: Terracotta disk with Aphrodite riding on a swan,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: D. 2 3/4 in.  (6.9 cm.),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.86
tempObjectNumber: 35, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 x 1 1/8 in. (2.6 x 2.8 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1894
tempObjectNumber: 36, Title: Seal,  Period: Early Minoan III,  Culture: Minoan,  Medium: Quartz,  Dimensions: Other: 1/4 x 5/16 x 9/16 in. (0.7 x 0.8 x 1.5 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.34
tempObjectNumber: 37, Title: Gold disk and pendant earring,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: H.: 1 15/16 in. (4.9 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.88
tempObjectNumber: 38, Title: Terracotta lekythos (oil flask),  Attribution: the Sappho Painter,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure white-ground,  Dimensions: H. 6 13/16 in. (17.3 cm); diameter 2 13/16 in. (7.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.35
tempObjectNumber: 39, Title: Marble bowl,  Period: Early Cycladic II,  Date: ca. 2800–2500 B.C.,  Culture: Cycladic,  Medium: Marble traces of red pigment on interior,  Dimensions: 1 × 3 1/8 in. (2.6 × 8 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: Anonymous Gift 2013,  Accession Number: 2013.1104.3
tempObjectNumber: 40, Title: Earring with head of lion,  Culture: Greek South Italian Tarentine,  Medium: Gold,  Dimensions: Other: 9/16 × 7/16 × 3/16 in. (1.4 × 1.1 × 0.5 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.50
tempObjectNumber: 41, Title: Terracotta female head,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 1 3/4 in. (4.4 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.99
tempObjectNumber: 42, Title: Fragment of a terracotta amphora (jar),  Attribution: the Amasis Painter,  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: 3 3/16 × 4 5/8 × 3/8 in. (8.1 × 11.7 × 0.9 cm),  Classification: Vases,  Credit Line: Anonymous Gift 1985,  Accession Number: 1985.53
tempObjectNumber: 43, Title: Phiale miniature,  Culture: Greek,  Medium: Terracotta,  Dimensions: Other: 2 1/16in. (5.3cm),  Classification: Vases,  Accession Number: 20.263.3
tempObjectNumber: 44, Title: Pinhead,  Medium: Glass,  Dimensions: Height: 1/4 x 7/8 in. (0.6 x 2.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.831
tempObjectNumber: 45, Title: Jasper triangular prism,  Period: Middle Minoan II,  Date: ca. 1900–1750 B.C.,  Culture: Minoan,  Medium: Jasper,  Dimensions: L. 1.8 cm; W. 1.05 cm,  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.162
tempObjectNumber: 46, Title: Red jasper ring stone,  Period: Late Republican or Imperial,  Date: ca. 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Jasper red,  Dimensions: Length: 5/8 in. (1.6 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.110
tempObjectNumber: 47, Title: Terracotta rim of a bowl,  Period: Late Neolithic,  Date: ca. 3800–3300 B.C.,  Culture: Dimini culture,  Medium: Terracotta,  Dimensions: length  5 1/16in. (12.8cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.38
tempObjectNumber: 48, Title: Silver cochlear (spoon),  Period: Late Republican,  Date: mid-1st century B.C.,  Culture: Roman,  Medium: Silver,  Dimensions: length  4 7/8in. (12.3cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1920,  Accession Number: 20.49.11
tempObjectNumber: 49, Title: Limestone statue of a lion,  Period: Hellenistic,  Date: ca. 3rd century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H. 5 1/2 x 6 3/4 x 11 3/4 in. (14 x 17.1 x 29.8 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2628
tempObjectNumber: 50, Title: Juglet,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 3 11/16in. (9.4cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.852
tempObjectNumber: 51, Title: Terracotta relief probably from a funnel vase,  Period: Early Hellenistic,  Date: late 3rd–early 2nd century B.C.,  Culture: Greek South Italian Apulian Canosan,  Medium: Terracotta,  Dimensions: 8 9/16 x 12in. (21.8 x 30.5cm),  Classification: Vases,  Credit Line: Rogers Fund 1912,  Accession Number: 12.236.5
tempObjectNumber: 52, Title: Limestone head of a bearded male with a wreath of flowers,  Date: 6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 14 x 11 x 12 1/4 in. (35.6 x 27.9 x 31.1 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2842
tempObjectNumber: 53, Title: Glass perfume bottle,  Period: Mid Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 6 7/8 in. (17.5 cm),  Classification: Glass,  Credit Line: Gift of Mrs. Elias Kempner 1934,  Accession Number: 34.132.44
tempObjectNumber: 54, Title: Gold pendant or clasp?,  Period: Hellenistic,  Date: 3rd century B.C.?,  Culture: Greek,  Medium: Gold,  Dimensions: H.: 1/2 x 9/16 in. (1.3 x 1.4 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.268
tempObjectNumber: 55, Title: Mirror,  Period: Archaic,  Date: mid-6th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: Diam.: 6 1/2 x 5/16 in. (16.5 x 0.8 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1941,  Accession Number: 41.11.5b
tempObjectNumber: 56, Title: Marble female figure,  Period: Early Cycladic I,  Date: 3200–2800 B.C.,  Culture: Cycladic,  Medium: Marble,  Dimensions: H. 8 1/2 in. (21.6 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1945,  Accession Number: 45.11.18
tempObjectNumber: 57, Title: Glass hexagonal bottle,  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Glass; blown in a three-part mold,  Dimensions: H.: 3 3/8 x 1 1/2 x 3/4 in. (8.6 x 3.8 x 1.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.227
tempObjectNumber: 58, Title: Terracotta statuette of a woman,  Period: Classical,  Date: late 5th–4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: H. 10 3/8 in. (26.4 cm),  Classification: Terracottas,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.129
tempObjectNumber: 59, Title: Marble statue of a kouros (youth),  Period: Archaic,  Date: ca. 590–580 B.C.,  Culture: Greek Attic,  Medium: Marble Naxian,  Dimensions: H. without plinth  76 5/8 in. (194.6 cm); H. of head 12 in. (30.5 cm); length of face 8 7/8 in. (22.6 cm); shoulder width  20 5/16 in. (51.6 cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1932,  Accession Number: 32.11.1
tempObjectNumber: 60, Title: Terracotta amphora (jar),  Period: Archaic,  Date: ca. 560–550 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Diameter  10 15/16 in. (27.8 cm.),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.103
tempObjectNumber: 61, Title: Vase fragment,  Period: Neolithic second period,  Date: ca. 4000–3000 B.C.,  Culture: Neolithic Thessaly,  Medium: Terracotta,  Dimensions: length  1 3/8in. (3.5cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.23
tempObjectNumber: 62, Title: Terracotta stirrup jar,  Period: Late Helladic III,  Date: ca. 1400–1050 B.C.,  Culture: Mycenaean,  Medium: Terracotta,  Dimensions: H. 4 11/16 in. (11.9 cm.),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5852
tempObjectNumber: 63, Title: Colossal marble head of the emperor Augustus,  Period: Early Imperial Julio-Claudian,  Date: ca. A.D. 14–30,  Culture: Roman,  Medium: Marble,  Dimensions: Overall: 17 7/8 x 15 in. (45.4 x 38.1 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.94
tempObjectNumber: 64, Title: Mosaic glass and gold inlay,  Period: Early Imperial,  Date: late 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 3 1/8 in. (7.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.384
tempObjectNumber: 65, Title: Steatite triangular prism,  Period: Middle Minoan II,  Date: ca. 1900–1750 B.C.,  Culture: Minoan,  Medium: Steatite,  Dimensions: L. 1.1 cm; W. of sides 0.9 cm,  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.77
