tempObjectNumber: 22, Title: Terracotta lekythos (perfume flask),  Attribution: near the Sappho Painter,  Period: Late Archaic,  Date: early 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure white-ground,  Dimensions: H. 8 1/16 in. (20.4 cm); diameter  3 1/16 in. (7.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.138
tempObjectNumber: 23, Title: Lamp,  Culture: Roman,  Medium: Terracotta,  Dimensions: Overall: 1 x 4 1/8 in. (2.5 x 10.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2258
tempObjectNumber: 24, Title: Arretine ware fragment,  Culture: Roman,  Medium: Terracotta,  Dimensions: diameter     3.99 cm.,  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1929
tempObjectNumber: 25, Title: Bowl,  Period: Late Cypriot,  Date: 1600–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 10in. (25.4cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1358
tempObjectNumber: 26, Title: Serpentine Triangular Prism,  Period: Middle Minoan II,  Date: ca. 1800–1700 B.C.,  Culture: Minoan,  Medium: Serpentine,  Dimensions: Other: 1/2 in. (1.2 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.102
tempObjectNumber: 27, Title: Terracotta kylix (cup),  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: diameter  7 3/16 in. (18.3 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.515
tempObjectNumber: 28, Title: Stone votive breast,  Period: Late Classical-Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 4 1/2 x 3 1/2 in. (11.4 x 8.9 cm),  Classification: Miscellaneous-Stone,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5176
tempObjectNumber: 29, Title: Pair of spherical gold earrings,  Period: Archaic or Classical,  Date: 6th–5th century B.C.,  Culture: Greek,  Medium: Gold enamel,  Dimensions: Other: 1 9/16 in. (4 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1995,  Accession Number: 1995.60a b
tempObjectNumber: 30, Title: Seal,  Culture: Minoan Crete,  Medium: Serpentine,  Dimensions: Other: 5/16 x 11/16 in. (0.7 x 1.7 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.114
tempObjectNumber: 31, Title: Limestone statuette of a beardless male votary in Egyptianizing dress wearing a helmet,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H.: 26 3/4 x 9 3/4 x 4 3/4 in. (67.9 x 24.8 x 12.1 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2553
tempObjectNumber: 32, Title: Terracotta bell-krater (bowl for mixing wine and water),  Period: Classical,  Date: late 5th century B.C.–early 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Height: 13 3/4in. (34.9cm) Diam.: 14 3/8 in. (36.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1962,  Accession Number: 62.11.4
tempObjectNumber: 33, Title: Glass jar,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 7/16 in. (6.3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1334
tempObjectNumber: 34, Title: Terracotta amphora (jar),  Attribution: the Group of Toronto 305,  Period: Archaic,  Date: ca. 520 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 21 5/16 in. (54.2 cm),  Classification: Vases,  Credit Line: Gift of Mrs. Leonard A. Cohn 1941,  Accession Number: 41.85
tempObjectNumber: 35, Title: Terracotta statuette of Priapos,  Period: Hellenistic,  Date: 3rd–1st century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 4 9/16 in. (11.6 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1912,  Accession Number: 12.229.21
tempObjectNumber: 36, Title: Glass jug,  Period: Early to Mid Imperial,  Date: mid-1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 1/4in. (5.7cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.144
tempObjectNumber: 37, Title: Statuette of a girl,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian,  Medium: Terracotta,  Dimensions: H.: 7 9/16 in. (19.2 cm),  Classification: Terracottas,  Credit Line: Gift of Ernest Brummer 1959,  Accession Number: 59.48.20
tempObjectNumber: 38, Title: Upper right corner of a marble sarcophagus: head of an African (known as an Ethiopian) and a maenad,  Period: Mid-Imperial Severan,  Date: 1st quarter of the 3rd century A.D.,  Culture: Roman,  Medium: Marble-Phrygian,  Dimensions: Other (depth of relief): 3 1/2in. (8.9cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1928,  Accession Number: 28.57.3
tempObjectNumber: 39, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 9/16 x 7/16 x 1/16 in. (1.5 x 1.1 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.1053
tempObjectNumber: 40, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H. 2 3/4 in. (7 cm); width  1 5/16 in. (3.3 cm); diameter of rim  3/4 in. (1.9 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.265
tempObjectNumber: 41, Title: Glass alabastron (perfume bottle),  Period: Classical,  Date: 5th century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group I,  Dimensions: H.: 4 3/16 in. (10.6 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1381
tempObjectNumber: 42, Title: Bone pin with head in the form of a hand,  Date: mid-1st–3rd century A.D.,  Culture: Roman,  Medium: Ivory or bone,  Dimensions: H.: 6 15/16 in. (17.6 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: Purchase 1896,  Accession Number: 96.9.458
