tempObjectNumber: 22, Title: Carnelian amygdaloid seal,  Period: Middle Minoan III,  Date: ca. 1750–1600 B.C.,  Culture: Minoan,  Medium: Carnelian,  Dimensions: L. 1.66 cm; W. 1.44 cm,  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.252
tempObjectNumber: 23, Title: Vase fragment,  Period: Middle Helladic,  Date: ca. 2000–1600 B.C.,  Culture: Aegean,  Medium: Terracotta,  Dimensions: Other: 2 3/16in. (5.5cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.82
tempObjectNumber: 24, Title: Vase fragment,  Period: Archaic,  Date: 7th century B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: 7/8 × 1 3/8 × 1/8 in. (2.2 × 3.4 × 0.3 cm),  Classification: Vases,  Credit Line: Gift of Elinor R. Price 1926,  Accession Number: 26.211.8
tempObjectNumber: 25, Title: Terracotta neck-amphora (jar),  Attribution: the Paris Painter,  Period: Archaic,  Date: ca. 540 B.C.,  Culture: Etruscan,  Medium: Terracotta; black-figure Pontic ware,  Dimensions: H. 13 13/16 in. (35.1 cm),  Classification: Vases,  Credit Line: Gift of Nicolas Koutoulakis 1955,  Accession Number: 55.7
tempObjectNumber: 26, Title: Vase fragment,  Medium: Terracotta,  Dimensions: 3 1/16 × 3 7/16 × 1/4 in. (7.8 × 8.8 × 0.6 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2035
tempObjectNumber: 27, Title: Terracotta vessel fragment,  Period: Late Neolithic,  Date: ca. 4000–3000 B.C.,  Culture: Greek Neolithic,  Medium: Terracotta; Patterned ware,  Dimensions: length  1 1/2 in. (3.8 cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.80
tempObjectNumber: 28, Title: Haematite amygdaloid seal,  Period: Late Minoan I–II,  Date: ca. 1600–1400 B.C.,  Culture: Minoan,  Medium: Haematite,  Dimensions: L. 2.09 cm; W. 1.3 cm,  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.273
tempObjectNumber: 29, Title: Limestone head of a bearded male wearing a conical helmet,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 14 1/2 x 9 x 13 1/2 in. (36.8 x 22.9 x 34.3 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2860
tempObjectNumber: 30, Title: Terracotta amphora (jar),  Period: Imperial,  Date: ca. A.D. 100–225,  Culture: Roman Syrian,  Medium: Terracotta; alkaline-glazed ware,  Dimensions: H. 13 in. (33 cm),  Classification: Vases,  Credit Line: Purchase Joseph Pulitzer Bequest 1946,  Accession Number: 46.11.2
tempObjectNumber: 31, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Chalcedony,  Dimensions: Other: 9/16 x 7/16 x 1/8 in. (1.4 x 1.1 x 0.4 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.1014
tempObjectNumber: 32, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 3/8 x 1 9/16 in. (3.5 x 4 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1763
