tempObjectNumber: 21, Title: Intaglio,  Culture: Roman,  Medium: Agate,  Dimensions: Other: 5/8 x 1/2 x 3/16 in. (1.5 x 1.2 x 0.4 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.835
tempObjectNumber: 22, Title: Terracotta pyxis (box),  Period: Late Classical,  Date: 4th–3rd century B.C.,  Culture: Greek South Italian Campanian,  Medium: Terracotta; black-glaze,  Dimensions: H. with cover  3 3/8 in. (8.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.107a b
tempObjectNumber: 23, Title: Statuette of a man,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek Asia Minor,  Medium: Terracotta,  Dimensions: H.: 2 1/2 in. (6.4 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1132
tempObjectNumber: 24, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Sard,  Dimensions: Other: 9/16 x 7/16 x 1/8 in. (1.4 x 1.1 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.183
tempObjectNumber: 25, Title: Jug miniature,  Period: Cypro-Archaic II,  Date: 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 2 13/16in. (7.1cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.925
tempObjectNumber: 26, Title: Terracotta oinochoe: chous (jug),  Period: Classical,  Date: ca. 420 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 3 5/8 in. (9.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.202
tempObjectNumber: 27, Title: Terracotta tondo from a bowl,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Campanian,  Medium: Terracotta; black-glaze,  Dimensions: Diam.: 2 9/16 in. (6.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.273b
tempObjectNumber: 28, Title: Wall painting fragment,  Date: 1st century A.D.,  Culture: Roman,  Medium: Fresco,  Dimensions: Overall: 1 15/16 x 2 13/16 x 5/16 in. (5 x 7.2 x 0.8 cm),  Classification: Miscellaneous-Paintings,  Credit Line: Gift of Miss A. Rivier 1930,  Accession Number: 30.142.6
tempObjectNumber: 29, Title: Terracotta statuette of a horse,  Period: Late Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: length  6 3/4" (17.1 cm),  Classification: Terracottas,  Credit Line: Purchase Abraham Foundation Gift 2000,  Accession Number: 2000.659
tempObjectNumber: 30, Title: Bronze statuette of a shepherd,  Period: Archaic,  Date: ca. 525–500 B.C.,  Culture: Greek Arcadian,  Medium: Bronze,  Dimensions: H. 3 5/8 in. (9.2 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1943,  Accession Number: 43.11.3
tempObjectNumber: 31, Title: Jar with lid,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Other (height without cover): 9 11/16in. (24.6cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.100a b
tempObjectNumber: 32, Title: Terracotta female musician,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; wheel-made hand-made and mold-made,  Dimensions: H. 6 3/4 in. (17.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1679
tempObjectNumber: 33, Title: Pendant,  Medium: Gold beryl,  Dimensions: Other (beryl): 3/16 x 1/4 x 1/16 in. (0.5 x 0.7 x 0.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3700
tempObjectNumber: 34, Title: Juglet,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 3 13/16in. (9.7cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.877
tempObjectNumber: 35, Title: Terracotta Nolan neck-amphora (jar),  Attribution: the Achilles Painter,  Period: Classical,  Date: ca. 460–450 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  6 3/4 in. (17.2 cm),  Classification: Vases,  Credit Line: Rogers Fund 1912,  Accession Number: 12.236.1
tempObjectNumber: 36, Title: Bronze jug with handle attachment showing running youth,  Period: Classical,  Date: 450–400 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H.: 8 3/16 in. (20.8 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.1
tempObjectNumber: 37, Title: Jug,  Period: Geometric,  Date: 8th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: 1 7/8in. (4.7cm),  Classification: Vases,  Credit Line: Gift of the Greek Government 1930,  Accession Number: 30.118.14
tempObjectNumber: 38, Title: Beads 44,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 10 3/4 in. (27.3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1516
tempObjectNumber: 39, Title: Vase fragment,  Culture: Roman Gaul,  Medium: Terracotta,  Dimensions: 2 7/16 × 2 11/16 × 3/16 in. (6.2 × 6.9 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2081
