tempObjectNumber: 22, Title: Limestone statuette of a coursing hound seizing a hare,  Date: ca. 5th or 4th century B.C.?,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 2 1/4 x 6 1/2 x 1 1/8 in. (5.7 x 16.5 x 2.9 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2666
tempObjectNumber: 23, Title: Gold-glass bead,  Period: Late Republic or Early Imperial,  Date: 2nd half of 1st century B.C.–1st first of 1st century A.D.,  Culture: Roman Egyptian,  Medium: Glass; layered and molded,  Dimensions: Other: 5/8 x 1/2 x 3/16 in. (1.6 x 1.3 x 0.5 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.509
tempObjectNumber: 24, Title: Glass vessel in the shape of a basket,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 5 in. (12.7 cm),  Classification: Glass,  Credit Line: Fletcher Fund 1959,  Accession Number: 59.11.9
tempObjectNumber: 25, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 2 3/16 × 1 5/8 × 3/16 in. (5.6 × 4.2 × 0.4 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.175
tempObjectNumber: 26, Title: Gold serpentine fibula (safety pin),  Period: Geometric,  Date: probably 7th century B.C.,  Culture: Etruscan,  Medium: Gold,  Dimensions: Other: 3 7/16 in. (8.8 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.238
tempObjectNumber: 27, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 2 × 2 1/2 × 9/16 in. (5.1 × 6.3 × 1.4 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.75
tempObjectNumber: 28, Title: Terracotta kyathos (cup-shaped ladle),  Attribution: the Group of Vatican G.57,  Period: Archaic,  Date: ca. 520–510 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Other (height without handle): 3in. (7.6cm),  Classification: Vases,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.30
tempObjectNumber: 29, Title: Gold ring with a carnelian scaraboid gem,  Period: Archaic,  Date: late 6th century B.C.,  Culture: Greek,  Medium: Gold with carnelian,  Dimensions: length of stone  3/4 in. (1.9 cm),  Classification: Gold and Silver,  Credit Line: Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,  Accession Number: 1995.539.2
tempObjectNumber: 30, Title: Necklace with 187 beads,  Period: Early Imperial Augustan,  Date: late 1st century B.C.–middle of 1st century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 23 in. (58.4 cm),  Classification: Glass,  Credit Line: Bequest of George D. Pratt 1936,  Accession Number: 37.128.11
tempObjectNumber: 31, Title: Rock-crystal ovoid vessel with wide mouth,  Period: Late Classical or Early Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Rock crystal,  Dimensions: H. 2 1/4 in. (5.7 cm); diameter 1 5/8 in. (4.2 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1992,  Accession Number: 1992.266.19
tempObjectNumber: 32, Title: Marble head of a herm,  Period: Early or Mid Imperial,  Date: 1st or 2nd century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: Overall: 14 1/2 x 8 1/2 x 10in. (36.8 x 21.6 x 25.4cm),  Classification: Stone Sculpture,  Credit Line: Gift of Mrs. Frederick F. Thompson 1903,  Accession Number: 03.12.3
tempObjectNumber: 33, Title: Limestone head of beardless male votary with wreath of leaves,  Period: Hellenistic,  Date: early 2nd century B.C.(?),  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 12 x 7 1/2 x 10 in. (30.5 x 19.1 x 25.4 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2805
tempObjectNumber: 34, Title: Terracotta kantharos (drinking cup with high handles),  Attribution: the Xenon Group,  Period: Late Classical,  Date: ca. 400–350 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; applied color,  Dimensions: H. 4 15/16 in. (12.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.39
tempObjectNumber: 35, Title: Bronze oinochoe (jug) and handle attachment,  Period: Late Classical,  Date: ca. 425–400 B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H.: 9 7/16 in. (24 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1944,  Accession Number: 44.11.4
tempObjectNumber: 36, Title: Stucco relief panel,  Period: Early Imperial,  Date: 2nd half of 1st century A.D.,  Culture: Roman,  Medium: Stucco,  Dimensions: Overall: 21 1/2 x 2 1/2 in. (54.6 x 6.4 cm),  Classification: Miscellaneous-Stucco,  Credit Line: Gift of Henry G. Marquand 1892,  Accession Number: 92.11.6
tempObjectNumber: 37, Title: Glass jar,  Period: Late Imperial,  Date: ca. 4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 1 11/16 x 2 1/4 x 1 5/8 in. (4.3 x 5.7 x 4.1 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.121
tempObjectNumber: 38, Title: Marble stele (grave marker) of a youth and little girl with capital and finial in the form of a sphinx,  Period: Archaic,  Date: ca. 530 B.C.,  Culture: Greek Attic,  Medium: Marble,  Dimensions: total H. 13 ft. 10 11/16 in. (423.4 cm),  Classification: Stone Sculpture,  Credit Line: Frederick C. Hewitt Fund 1911; Rogers Fund 1921; Munsey Funds 1936 1938; and Anonymous Gift 1951,  Accession Number: 11.185a–d f g x
tempObjectNumber: 39, Title: Ring with scarab,  Medium: Silver sard,  Dimensions: Other: 3/8 x 3/16 x 1/4 in. (1 x 0.5 x 0.7 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4189
