tempObjectNumber: 21, Title: Terracotta shallow bowl,  Period: Early Minoan II,  Date: ca. 2900–2300 B.C.,  Culture: Minoan,  Medium: Terracotta; Dark-on-light ware,  Dimensions: Diameter  6 5/8 in. (16.8 cm.),  Classification: Vases,  Credit Line: Gift of Ashmolean Museum by exchange 1911,  Accession Number: 11.186.2
tempObjectNumber: 22, Title: Lamp,  Culture: Roman,  Medium: Terracotta,  Dimensions: Overall: 2 7/8 x 5 3/8 in. (7.3 x 13.7 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.288
tempObjectNumber: 23, Title: Terracotta oinochoe (jug) in the form of the head of Herakles,  Attribution: the Cook Class of Head Vases,  Period: Classical,  Date: ca. 480 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 4 15/16 in. (12.6 cm),  Classification: Vases,  Credit Line: Purchase Sarah Campbell Blaffer Foundation and Nicholas S. Zoullas Gifts 1985,  Accession Number: 1985.11.11
tempObjectNumber: 24, Title: Standing male(?) figurine,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; wheel-made and hand-made,  Dimensions: H. 6 5/16 in. (16 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1618
tempObjectNumber: 25, Title: Terracotta one-handled cup,  Period: Middle Minoan I,  Date: ca. 2200–1900 B.C.,  Culture: Minoan,  Medium: Terracotta; White-on-dark ware,  Dimensions: Diameter 3 1/4 in. (8.3 cm.),  Classification: Vases,  Credit Line: The Cesnola Collection by exchange 1914,  Accession Number: 14.89.4
tempObjectNumber: 26, Title: Glass bottle.,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 2 7/16 in. (6.2 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.275
tempObjectNumber: 27, Title: Glass jug,  Period: Imperial,  Date: 1st–3rd century A.D.,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: Overall: 3 x 1 7/8 x 1 3/4 in. (7.6 x 4.8 x 4.4 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.114
tempObjectNumber: 28, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 1/2 x 3/8 x 1/16 in. (1.2 x 1 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.659
tempObjectNumber: 29, Title: Earring with disk and pendant globules,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other (.b): 13/16 × 3/8 × 9/16 in. (2 × 0.9 × 1.4 cm),  Classification: Gold and Silver,  Credit Line: Gift of Leon Farber 1992,  Accession Number: 1992.263.3a b
tempObjectNumber: 30, Title: Terracotta skyphos (deep drinking cup),  Period: Archaic,  Date: ca. 600 B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: diameter  5 3/8 in. (13.7 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Exploration of Sardis 1916,  Accession Number: 16.75.12
tempObjectNumber: 31, Title: Limestone model of chariot drawn by two horses,  Period: Classical,  Date: 1st half of. 5th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 6 1/4 x 6 1/2 x 7 1/4 in. (15.9 x 16.5 x 18.4 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2687
tempObjectNumber: 32, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Glass banded,  Dimensions: Other: 1/2 x 1/2 x 1/8 in. (1.2 x 1.3 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.657
tempObjectNumber: 33, Title: Marble statuette of Aphrodite Anadyomene (rising),  Period: Hellenistic or Early Imperial,  Date: 3rd–2nd century B.C. or 1st century A.D.,  Culture: Roman or Greek,  Medium: Marble,  Dimensions: 19 13/16in. (50.3cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1927,  Accession Number: 27.122.17
tempObjectNumber: 34, Title: Terracotta squat alabastron (jar),  Period: Late Helladic IIIB,  Date: ca. 13th century B.C.,  Culture: Mycenaean,  Medium: Terracotta,  Dimensions: Diameter: 4 1/2 in. (10.9 cm.),  Classification: Vases,  Credit Line: Gift of Bess Myerson 2001,  Accession Number: 2001.761.4
tempObjectNumber: 35, Title: Pair of gold earrings with Erotes,  Period: Hellenistic,  Date: late 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: width of b  15/16 in. (2.4 cm),  Classification: Gold and Silver,  Credit Line: Gift of Christos G. Bastis in honor of Philippe de Montebello 1995,  Accession Number: 1995.539.8a b
tempObjectNumber: 36, Title: Vase fragment,  Period: Geometric,  Date: 7th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: Overall: 1 1/4in. (3.2cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.188
tempObjectNumber: 37, Title: Dinos,  Period: Cypro-Geometric III,  Date: 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 12in. (30.5cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.461
tempObjectNumber: 38, Title: Beads 5,  Medium: Glass,  Dimensions: Other: 1 3/8 x 3/8 in. (3.6 x 1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.676
tempObjectNumber: 39, Title: Lamp,  Date: 2nd century A.D.,  Medium: Terracotta,  Dimensions: Length 7.8 cm.  H. 2.5 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1962
tempObjectNumber: 40, Title: Stand,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Diameter: 13 3/8 × 5 3/8 in. (34 × 13.6 cm),  Classification: Vases,  Credit Line: Gift of L. P. di Cesnola 1875,  Accession Number: 75.4.1
tempObjectNumber: 41, Title: Mosaic glass fragment,  Medium: Glass,  Dimensions: Other: 1 5/8 x 1 7/16 in. (4.1 x 3.7 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1674
tempObjectNumber: 42, Title: Earring-loop type,  Medium: Gold,  Dimensions: Other: 5/16 x 7/16 x 9/16 in. (0.7 x 1.1 x 1.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3732
tempObjectNumber: 43, Title: Terracotta lekythos (oil flask),  Attribution: the Phiale Painter,  Period: Classical,  Date: ca. 440–430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H.: 14 1/4 x 4 3/8 in. (36.2 x 11.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1908,  Accession Number: 08.258.23
tempObjectNumber: 44, Title: Standing male figurine,  Period: Cypro-Archaic II,  Date: ca. 600–480 B.C.,  Culture: Cypriot,  Medium: Terracotta; hand-made,  Dimensions: H. 6 1/16 in. (15.4 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1629
tempObjectNumber: 45, Title: Glass perfume bottle,  Period: Early to Mid Imperial,  Date: late 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 5 in. (12.7 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.150
