tempObjectNumber: 20, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 3/16 × 1 3/16 × 1/8 in. (3.1 × 2.9 × 0.3 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.192
tempObjectNumber: 21, Title: Marble statuette of a satyr,  Period: Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Marble Pentelic ?,  Dimensions: H. 12 5/16 in. (31.3 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1912,  Accession Number: 12.232.4
tempObjectNumber: 22, Title: Limestone youth,  Period: Archaic,  Date: early 6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 4 7/8 x 2 x 1 3/4 in. (12.4 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2571
tempObjectNumber: 23, Title: Terracotta stemmed dish,  Period: Classical,  Date: 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H. 3 1/8 in. (7.9 cm); diameter of mouth  6 5/8 in. (16.8 cm); diameter of foot  2 13/16 in. (7.2 cm),  Classification: Vases,  Credit Line: Mr. and Mrs. Martin Fried Gift 1977,  Accession Number: 1977.11.4
tempObjectNumber: 24, Title: Statuette of a woman,  Date: 6th–4th century B.C.,  Culture: Greek Corinthian ?,  Medium: Terracotta,  Dimensions: Height: 7 7/8 in. (20 cm),  Classification: Terracottas,  Credit Line: Gift of Ernest Brummer 1959,  Accession Number: 59.48.18
tempObjectNumber: 25, Title: Terracotta pelike (jar),  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek Corinthian,  Medium: Terracotta; red-figure,  Dimensions: H. 9 15/16 in. (25.2 cm),  Classification: Vases,  Credit Line: Gift of Mrs. Matthew C. Brush 1957,  Accession Number: 57.43
tempObjectNumber: 26, Title: Statuette of a seated goddess,  Period: Classical,  Date: late 5th century B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: H.: 4 1/8 in. (10.5 cm),  Classification: Terracottas,  Credit Line: Gift of Mrs. Lucy W. Drexel 1889,  Accession Number: 89.2.2129
tempObjectNumber: 27, Title: Gold aureus of Augustus,  Period: Early Imperial Augustan,  Date: ca. 19–18 B.C.,  Culture: Roman,  Medium: Gold,  Dimensions: 11/16 × 3/4 in. (1.8 × 1.9 cm),  Classification: Coins,  Credit Line: Gift of Joseph H. Durkee 1899,  Accession Number: 99.35.6
tempObjectNumber: 28, Title: Rattle in the form of a heart,  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek,  Medium: Gold foil,  Dimensions: Other: 1 5/8 × 1 3/8 × 1 1/8 in. (4.1 × 3.4 × 2.8 cm),  Classification: Gold and Silver,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1992,  Accession Number: 1992.266.16
tempObjectNumber: 29, Title: Statue base inscribed,  Culture: Cypriot,  Medium: Stone,  Dimensions: Other: 8 3/4 x 14 1/2 x 15 in. (22.2 x 36.8 x 38.1 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2323
tempObjectNumber: 30, Title: Statuette of a woman,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta,  Dimensions: H.: 9 1/2 in. (24.1 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1167
