tempObjectNumber: 20, Title: Buckle,  Medium: Bronze,  Dimensions: Other: 2 7/8 in. (7.3 cm),  Classification: Bronzes,  Credit Line: Purchase 1898,  Accession Number: 98.11.14
tempObjectNumber: 21, Title: Terracotta oinochoe (jug),  Attribution: the Group of Zurich 2657,  Period: Classical,  Date: ca. 320–310 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: H. 9 5/8 in. (24.4 cm),  Classification: Vases,  Credit Line: Gift of Mrs. Kate Roberts Smith 1949,  Accession Number: 49.93
tempObjectNumber: 22, Title: Terracotta rim fragment with linear decoration,  Period: Middle Neolithic,  Date: ca. 4000 B.C.,  Culture: Greek Neolithic,  Medium: Terracotta; Patterned ware,  Dimensions: length  2 7/8in. (7.3cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.73
tempObjectNumber: 23, Title: Terracotta rim and upper body fragment with concentric circles (or spiral?) and bands,  Period: Late Minoan III,  Date: ca. 1400–1200 B.C.,  Culture: Minoan,  Medium: Terracotta; Fine dark-on-light ware,  Dimensions: 2 7/16 × 13/16 × 3/16 in. (6.2 × 2 × 0.5 cm),  Classification: Vases,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.525
tempObjectNumber: 24, Title: Marble funerary relief tablet with inscription,  Date: ca. A.D. 100 or later,  Culture: Roman or later,  Medium: Marble,  Dimensions: Other: 3 1/4in. (8.3cm),  Classification: Stone Sculpture,  Credit Line: Purchase Gift of Michael Finkelstein and Sue-ann Friedman 1996,  Accession Number: 1996.228
tempObjectNumber: 25, Title: Glass dish with gilding,  Period: Hellenistic,  Date: ca. 2nd century B.C.,  Culture: Greek,  Medium: Glass; cast and cut,  Dimensions: diameter  10 3/4 (27.3 cm),  Classification: Glass,  Credit Line: Rogers Fund 1999,  Accession Number: 1999.315
tempObjectNumber: 26, Title: Terracotta kylix (drinking cup),  Period: Archaic,  Date: late 7th–6th century B.C.,  Culture: East Greek,  Medium: Terracotta,  Dimensions: H. 3 1/16 in. (7.8 cm); diameter  5 7/8 in. (14.9 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1374
tempObjectNumber: 27, Title: Terracotta beaker with barbotine decoration,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Terracotta; Lower Rhineland color-coated ware,  Dimensions: H. 4 1/8 in. (10.5 cm); diameter  4 7/16 in. (11.2 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.874
tempObjectNumber: 28, Title: Amphora miniature,  Period: Middle Cypriot,  Date: 1900–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 2 5/16in. (5.9cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1118
tempObjectNumber: 29, Title: Bronze arrowhead,  Period: Late Cypriot,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: length  2 1/4in. (5.7cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5332
tempObjectNumber: 30, Title: Oinochoe miniature,  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 6.40 cm.,  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.70
