tempObjectNumber: 22, Title: Vase spindle-shaped,  Culture: Greek or Roman,  Medium: Terracotta,  Dimensions: 9 1/16in. (23cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.363
tempObjectNumber: 23, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Overall: 1 7/16 x 3/4in. (3.7 x 1.9cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.161
tempObjectNumber: 24, Title: Glass alabastron (perfume bottle),  Period: Late Classical or Hellenistic,  Date: mid-4th–early 3rd century B.C.,  Culture: Greek Eastern Mediterranean or Italian,  Medium: Glass; core-formed Group II,  Dimensions: H.: 5 5/8 in. (14.3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1382
tempObjectNumber: 25, Title: Terracotta pithoid jar,  Period: Late Helladic IIIA1-IIIA2early,  Date: ca. 1400–1325 B.C.,  Culture: Mycenaean,  Medium: Terracotta,  Dimensions: Diam. of foot: 1 15/16 in. (4.9 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.6712
tempObjectNumber: 26, Title: Terracotta rim fragment,  Period: Middle Helladic I,  Date: ca. 2100–1900 B.C.,  Culture: Helladic,  Medium: Terracotta; Minyan ware,  Dimensions: Overall: 2 3/4 x 1 13/16in. (7 x 4.6cm),  Classification: Vases,  Credit Line: Gift of Mrs. Carl W. Blegen 1924,  Accession Number: 24.151.4
tempObjectNumber: 27, Title: Limestone statue of Herakles,  Period: Classical,  Date: 2nd half of the 4th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 21 3/8 x 8 x 2 3/4 in. (54.3 x 20.3 x 7 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2660
tempObjectNumber: 28, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown and trailed,  Dimensions: H.: 3 1/16 in. (7.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.287
tempObjectNumber: 29, Title: Terracotta bell-krater (bowl for mixing wine and water),  Attribution: the Cassel Painter,  Period: Classical,  Date: ca. 440–430 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter of mouth  14 5/8 in. (37.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.11
tempObjectNumber: 30, Title: Glass beaker or lamp,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass; blown with applied decoration and cut,  Dimensions: Other: 5in. (12.7cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.148
tempObjectNumber: 31, Title: Terracotta jug in the shape of a siren,  Period: Archaic,  Date: ca. 550–500 B.C.,  Culture: Etruscan,  Medium: Terracotta; bucchero pesante,  Dimensions: H. 11 7/16 in. (29.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1918,  Accession Number: 18.145.25
tempObjectNumber: 32, Title: Glass bowl,  Period: Hellenistic,  Date: mid-2nd–1st century B.C.,  Culture: Greek,  Medium: Glass; cast and cut,  Dimensions: Diam.: 5 3/4 in. (14.6 cm),  Classification: Glass,  Credit Line: Rogers Fund 1957,  Accession Number: 57.11.6
tempObjectNumber: 33, Title: Cup,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Diam.: 2 5/8 in. (6.7 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1114
tempObjectNumber: 34, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 3/8 x 1/8 in. (1 x 0.3 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.988
tempObjectNumber: 35, Title: Limestone statuette of a temple boy,  Date: 4th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 9 1/2 x 5 15/16 x 2 1/16 in. (24.1 x 15.1 x 5.2 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2651
tempObjectNumber: 36, Title: Glass head,  Period: Ptolemaic,  Date: 2nd century B.C.,  Culture: Greek Egyptian,  Medium: Glass; cast and cut,  Dimensions: H. 1 7/16 in. (3.6 cm),  Classification: Glass,  Credit Line: Bequest of Walter C. Baker 1971,  Accession Number: 1972.118.176
tempObjectNumber: 37, Title: Vase fragment,  Period: Early Minoan II,  Culture: Minoan,  Medium: Terracotta,  Dimensions: Other: 13/16 × 2 13/16 × 5/16 in. (2.1 × 7.1 × 0.9 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.117
tempObjectNumber: 38, Title: Marble pilaster with acanthus scrolls,  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: Overall: 138 x 28in. (350.5 x 71.1cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.28a–c
tempObjectNumber: 39, Title: Miniature glass flask,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 1 3/4in. (4.4cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.59
tempObjectNumber: 40, Title: Kylix fragments,  Attribution: Douris,  Period: Late Archaic,  Culture: Greek,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1983,  Accession Number: 1983.466.2
tempObjectNumber: 41, Title: Marble statue of a member of the imperial family,  Period: Augustan or Julio-Claudian,  Date: 27 B.C.–A.D. 68,  Culture: Roman,  Medium: Marble,  Dimensions: Depth: 16 in. (40.63 cm),  Classification: Stone Sculpture,  Credit Line: Bequest of Bill Blass 2002,  Accession Number: 2003.407.8a b
tempObjectNumber: 42, Title: Arrowhead,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other: 2 5/8in. (6.7cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5329
tempObjectNumber: 43, Title: Relief from casket,  Culture: Roman,  Medium: Ivory,  Dimensions: Other: 1 7/8 x 3/16 x 2 13/16 in. (4.7 x 0.5 x 7.1 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.190.99
tempObjectNumber: 44, Title: Jug,  Period: Early Cypriot,  Date: 2500–1900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 8 3/4in. (22.3cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1221
