tempObjectNumber: 22, Title: Intaglio,  Culture: Roman,  Medium: Chalcedony,  Dimensions: Other: 1/2 x 3/8 x 5/16 in. (1.3 x 1 x 0.7 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.827
tempObjectNumber: 23, Title: Glass face bead,  Period: Late Classical,  Date: mid-4th–3rd century B.C.,  Culture: Phoenician or Carthaginian,  Medium: Glass; rod-formed and trailed,  Dimensions: H.: 1 1/16 in. (2.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.720
tempObjectNumber: 24, Title: Terracotta lekanis (dish) with lid,  Period: Classical,  Date: 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: width  7 1/4in. (18.5cm),  Classification: Vases,  Credit Line: Purchase Mrs. Helen H. Mertens Gift 1981,  Accession Number: 1981.11.3a b
tempObjectNumber: 25, Title: Gold and amethyst ring,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek Cypriot,  Medium: Gold amethyst,  Dimensions: Other: 15/16 in. (2.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4074
tempObjectNumber: 26, Title: Arrowhead,  Period: Classical,  Date: ca. 480–330 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: 1 1/2in. (3.8cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5322
tempObjectNumber: 27, Title: Gold ring,  Period: Archaic or Classical,  Date: ca. 6th–5th century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Length: 1/2 in. (1.3 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4062
tempObjectNumber: 28, Title: Bowl,  Period: Iron Age,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 5 5/8 x 6 7/8 in. (14.3 x 17.5 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.646
tempObjectNumber: 29, Title: Glass jug,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown and decorated with marvered blobs,  Dimensions: H. 4 3/16 in. (10.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.276
tempObjectNumber: 30, Title: Gold earring with head of an antelope,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Overall: 1 in. (2.5 cm),  Classification: Gold and Silver,  Credit Line: Gift of Leon Farber 1992,  Accession Number: 1992.263.2
tempObjectNumber: 31, Title: Mosaic pavement fragment,  Period: Imperial,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Tile,  Dimensions: 46 1/2 × 46 1/4 in. (118.1 × 117.5 cm),  Classification: Miscellaneous-Mosaic,  Credit Line: Gift of Susan Dwight Bliss 1945,  Accession Number: 45.16.2
