tempObjectNumber: 20, Title: Gold ornaments,  Period: Late Minoan III,  Date: ca. 1500–1400 B.C.,  Culture: Minoan,  Medium: Gold,  Classification: Gold and Silver,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.8–.12
tempObjectNumber: 21, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 13/16 x 1 1/2 in. (2.1 x 3.9 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1765
tempObjectNumber: 22, Title: Glass alabastron (perfume bottle),  Period: Early Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Eastern Mediterranean or South Italian,  Medium: Glass; core-formed Group II,  Dimensions: H.: 6 15/16 in. (17.6 cm),  Classification: Glass,  Credit Line: Bequest of Theodore M. Davis 1915,  Accession Number: 30.115.34
tempObjectNumber: 23, Title: Kylix fragments,  Attribution: the Epeleios Painter,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1976,  Accession Number: 1976.181.8
tempObjectNumber: 24, Title: Bowl,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Diam.: 3 15/16 in. (10 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1271
tempObjectNumber: 25, Title: Vase fragment,  Culture: Roman Gaul,  Medium: Terracotta,  Dimensions: 2 13/16 × 2 7/16 × 1/2 in. (7.2 × 6.2 × 1.2 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1993
tempObjectNumber: 26, Title: Glass monochrome fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 x 1 1/8 in. (2.5 x 2.9 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1753
tempObjectNumber: 27, Title: Vase Fragment,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: 1 1/2 × 1 7/8 × 1/4 in. (3.9 × 4.8 × 0.7 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.1949
tempObjectNumber: 28, Title: Gold pendant shaped like a fly,  Period: Late Bronze Age,  Date: ca. 1400–1100 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 7/16 in. (1.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3058
tempObjectNumber: 29, Title: Rock crystal ring,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Rock crystal gold,  Dimensions: Diameter: 1 1/16 × 5/16 in. (2.6 × 0.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4292
tempObjectNumber: 30, Title: Miniature bronze greave,  Period: Classical,  Date: 5th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: Other: 4 1/4 in. (10.8 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.97
tempObjectNumber: 31, Title: Bead,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1/2 x 3/8 x 13/16 in. (1.3 x 0.9 x 2.1 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.465
tempObjectNumber: 32, Title: Terracotta architectural tile,  Period: Archaic,  Date: 6th century B.C.,  Culture: Lydian,  Medium: Terracotta,  Dimensions: Overall: 7 11/16 x 6 1/2 in. (19.6 x 16.5 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.5
