tempObjectNumber: 1, Title:  Bronze folding key,  Date: 10th–12th century A.D.,  Culture: Byzantine,  Medium: Bronze,  Dimensions: Other: 1 1/16 in. (2.7 cm),  Classification: Bronzes,  Credit Line: Purchase 1898,  Accession Number: 98.11.3
tempObjectNumber: 2, Title:  Glass two-handled jar,  Period: Late Imperial,  Date: 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 4 1/2 in. (11.4 cm),  Classification: Glass,  Credit Line: Gift of Miss Ida H. Ogilvie 1951,  Accession Number: 51.80.1
tempObjectNumber: 3, Title:  Gold earring,  Period: Archaic,  Date: probably 7th century B.C.,  Culture: Phoenician,  Medium: Gold,  Dimensions: Other: 1 3/16 in. (3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3213
tempObjectNumber: 4, Title:  Glass beaker,  Period: Early Imperial,  Date: 1st century  A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 3 5/8 in. (9.2 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.89
tempObjectNumber: 5, Title:  Jasper ring stone,  Period: Imperial Flavian,  Date: ca. A.D. 69–79,  Culture: Roman,  Medium: Jasper,  Dimensions: L. 1.5 cm,  Classification: Gems,  Credit Line: Gift of Rupert L. Joseph 1950,  Accession Number: 50.15.1
tempObjectNumber: 6, Title:  Intaglio,  Medium: Gemstone ?,  Dimensions: Other: 1/2 x 3/8 x 3/16 in. (1.2 x 1 x 0.4 cm),  Classification: Gems,  Credit Line: Gift of Miss Helen Miller Gould 1910,  Accession Number: 10.130.1406
tempObjectNumber: 7, Title:  Glass one-handled jug,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 7 5/8 in. (19.4 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.12
tempObjectNumber: 8, Title:  Terracotta vase in the form of a black African youth's head,  Attribution:  the Negro Boy Group,  Period: Classical,  Date: 4th century B.C.,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: H. 9 in. (22.9 cm),  Classification: Vases,  Credit Line: Rogers Fund 1903,  Accession Number: 03.3.1
tempObjectNumber: 9, Title:  Gold necklace,  Date: 1st century B.C.–1st century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 18 in. (45.7 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.65
tempObjectNumber: 10, Title:  Glass ribbed mosaic bowl fragment,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Other: 3 15/16 x 1 9/16 in. (9.9 x 3.9 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1658
tempObjectNumber: 11, Title:  Statuette of a woman,  Date: 6th–4th century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H.: 5 1/4 in. (13.3 cm),  Classification: Terracottas,  Credit Line: Gift of Ernest Brummer 1959,  Accession Number: 59.48.1
tempObjectNumber: 12, Title:  Alabaster spoon or ladle,  Period: Late Bronze Age III,  Date: 1200–1050 B.C.,  Culture: Cypriot,  Medium: Gypsum (alabaster),  Dimensions: Overall: 1 3/4 × 2 × 5 1/2 in. (4.4 × 5.1 × 14 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5119
tempObjectNumber: 13, Title:  Terracotta statuette of a draped woman,  Period: Hellenistic,  Date: ca. 315–285 B.C.,  Culture: Greek Attic,  Medium: ,  Dimensions: H. 7 1/16 in. (18 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1138
tempObjectNumber: 14, Title:  Gold ring with a garnet,  Period: Hellenistic,  Date: 300–250 B.C.,  Culture: Greek,  Medium: Gold garnet finger bone,  Dimensions: H. of hoop  13/16 in. (2 cm),  Classification: Gold and Silver,  Credit Line: Gift of David L. Davis 1961,  Accession Number: 61.89a b
tempObjectNumber: 15, Title:  Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 1/16 x 1 3/16 in. (2.7 x 3 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1846
tempObjectNumber: 16, Title:  Glass bead,  Culture: Roman,  Medium: Glass; rod-formed and tooled,  Dimensions: 3/4 × 3/4 × 3/4 in. (1.9 × 2 × 1.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.429
tempObjectNumber: 17, Title:  Gold and glass bracelet with central medallion,  Period: Hellenistic,  Date: 2nd century B.C.,  Culture: Greek,  Medium: Gold and glass,  Dimensions: diameter  3 7/16 in. (8.7 cm),  Classification: Gold and Silver,  Credit Line: Purchase The Concordia Foundation Gift and Marguerite and Frank A. Cosgrove Jr. Fund 2001,  Accession Number: 2001.230
tempObjectNumber: 18, Title:  Terracotta statuette of a draped goddess,  Period: Classical,  Date: late 5th–4th century B.C.,  Culture: Greek,  Medium: terracotta,  Dimensions: Overall: 14 3/4 x 5 1/2 x 4in. (37.5 x 14 x 10.2cm),  Classification: Terracottas,  Credit Line: Gift of Robin Symes in memory of Christo Michailidis 2000,  Accession Number: 2000.163
tempObjectNumber: 19, Title:  Disk Aphrodite,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 3 1/2 in. (8.89 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.128
tempObjectNumber: 20, Title:  Calyx-krater fragments,  Period: Late Classical,  Date: ca. 360–340 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; added color,  Dimensions: c: greatest H.3 3/4 in. (9.5 cm); greatest width: 2 in. (5.1 cm),  Classification: Vases,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.17c
