tempObjectNumber: 1, Title: Oinochoe,  Period: Iron Age,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 10 in. (25.4 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.522
tempObjectNumber: 2, Title: Bronze lion paw,  Period: Archaic,  Date: 7th century B.C.,  Culture: Possibly Cypriot,  Medium: Bronze,  Dimensions: length  3 in. (7.6 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5567
tempObjectNumber: 3, Title: Terracotta hydria: kalpis (water jar),  Attribution: the Shuvalov Painter,  Period: Classical,  Date: ca. 420 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 6 13/16 in. (17.3 cm); diameter  4 13/16 in. (12.2 cm); width with handles  6 in. (15.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.89
tempObjectNumber: 4, Title: Intaglio,  Culture: Roman,  Medium: Glass banded,  Dimensions: Other: 11/16 x 1/2 x 1/8 in. (1.7 x 1.2 x 0.4 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.927
tempObjectNumber: 5, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 11/16 x 1 1/8 in. (1.7 x 2.9 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1958
tempObjectNumber: 6, Title: Gold earring with head of a bull,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 13/16 x 5/16 x 7/8 in. (2 x 0.9 x 2.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3438
tempObjectNumber: 7, Title: Glass hexagonal bottle,  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: H.: 4 1/8 x 2 1/2 x 1 x 1 1/2 in. (10.5 x 6.4 x 2.5 x 3.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.230
tempObjectNumber: 8, Title: Jug,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 5 1/4in. (13.3cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.921
tempObjectNumber: 9, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 1 3/8 x 1 in. (3.5 x 2.5 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1956
tempObjectNumber: 10, Title: Vase fragment,  Period: Helladic,  Culture: Aegean,  Medium: Terracotta,  Dimensions: 4 5/16 × 3 1/16 × 1/2 in. (10.9 × 7.8 × 1.3 cm),  Classification: Vases,  Credit Line: Anonymous Gift 1933,  Accession Number: 33.138.20
tempObjectNumber: 11, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman Cypriot,  Medium: Glass; blown,  Dimensions: Other: 1 11/16in. (4.3cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.49
tempObjectNumber: 12, Title: Spatula,  Medium: Bronze,  Dimensions: Other: 5 11/16 in. (14.4 cm),  Classification: Bronzes,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.279
tempObjectNumber: 13, Title: Terracotta lekythos (oil flask),  Attribution: midway between the Diosphos Painter and the Haimon  Painter,  Period: Late Archaic,  Date: 1st quarter of 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 7 7/8 in. (20 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.255
tempObjectNumber: 14, Title: Gold earring with head of a goat,  Period: Classical or Hellenistic,  Date: 4th‒3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Diam.: 1 1/8 in. (2.9 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3479
tempObjectNumber: 15, Title: Terracotta statuette of a standing woman,  Period: Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Greek probably Attic,  Medium: ,  Dimensions: H. 8 1/16 in. (20.4 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.1
tempObjectNumber: 16, Title: Statue base Tisandros,  Culture: Cypriot,  Medium: Stone,  Dimensions: Overall: 6 1/4 x 12 1/2 x 7 1/4 in. (15.9 x 31.8 x 18.4 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2322
tempObjectNumber: 17, Title: Kylix,  Attribution: the Haimon Group,  Period: Late Archaic,  Date: 1st quarter of 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Diam. of foot: 3 1/16 in. (7.8 cm),  Classification: Vases,  Credit Line: Gift of Ernest Brummer 1957,  Accession Number: 57.12.14
tempObjectNumber: 18, Title: Sard intaglio: Good Shepherd,  Period: Late Imperial,  Date: ca. 3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 1/2 x 3/8 x 1/8 in. (1.2 x 0.9 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.310
tempObjectNumber: 19, Title: Volute-krater fragment,  Period: Late Classical,  Date: ca. 360–340 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: 4 1/16 x 1 5/16in. (10.3 x 3.3cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.61
tempObjectNumber: 20, Title: Terracotta lamp,  Date: 2nd century A.D. or later,  Culture: Roman,  Medium: Terracotta; mold-made,  Dimensions: 1 1/8 x 3 5/8 in.  (2.9 x 9.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2255
tempObjectNumber: 21, Title: Limestone plinth with the feet of a female statuette (?),  Culture: Cypriot ?,  Medium: Limestone,  Dimensions: Overall: 5 1/8 x 8 7/8 x 3 in. (13 x 22.5 x 7.6 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2303
tempObjectNumber: 22, Title: Ornament cone,  Medium: Glass,  Dimensions: Height: 5/8 x 9/16 in. (1.6 x 1.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.641
tempObjectNumber: 23, Title: Intaglio,  Medium: Sard,  Dimensions: Other: 11/16 x 9/16 x 1/8 in. (1.7 x 1.4 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.194
tempObjectNumber: 24, Title: Bronze hand of a boxer,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 3 in. (7.6 cm); width 4 3/8 in. (11.1 cm); length  7 11/16 in. (19.5 cm),  Classification: Bronzes,  Credit Line: Gift of the Safani family in honor of Edward Safani 2001,  Accession Number: 2001.219
tempObjectNumber: 25, Title: Sardonyx cameo of Aurora driving her chariot,  Period: Hellenistic or Early Imperial,  Date: 1st century B.C.–1st century A.D.,  Culture: Greek or Roman,  Medium: Sardonyx,  Dimensions: H.: 1 3/16 x 1 5/8 in. (3 x 4.2 cm),  Classification: Gems,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.59
