tempObjectNumber: 20, Title: Cameo glass medallion of a Julio-Claudian prince,  Period: Early Imperial,  Date: late 1st century B.C.–mid-1st century A.D.,  Culture: Roman,  Medium: Glass blue and white; cast in two layers,  Dimensions: Other: 1 11/16 x 1 1/2 x 7/16 in. (4.3 x 3.8 x 1.1 cm),  Classification: Gems,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.269
tempObjectNumber: 21, Title: Terracotta drinking cup with two handles,  Period: Archaic,  Date: ca. 550 B.C.,  Culture: Etruscan,  Medium: Terracotta; bucchero pesante,  Dimensions: H.: 4 1/8 in. (10.5 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.126
tempObjectNumber: 22, Title: Terracotta mug,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Etruscan,  Medium: Terracotta; black-glaze,  Dimensions: H. 4 13/16 in. (12.3 cm); width 4 5/8 in. (11.8 cm),  Classification: Vases,  Credit Line: Gift of Mrs. Cyrus R. Vance 1977,  Accession Number: 1977.92.3
tempObjectNumber: 23, Title: Black jasper ring stone,  Period: Late Republican or Imperial,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Jasper black,  Dimensions: Length: 1/2 in. (1.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.706
tempObjectNumber: 24, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 7/8 × 2 × 3/16 in. (4.7 × 5.1 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.169
tempObjectNumber: 25, Title: Terracotta statuette of a man,  Period: Cypro-Archaic I,  Date: ca. 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta; wheel-made and hand-made,  Dimensions: H. 5 11/16 in. (14.5 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1692
tempObjectNumber: 26, Title: Terracotta amphora,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 15 1/4 in. (38.8 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.392
tempObjectNumber: 27, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Other: 5/8 x 3/4 in. (1.7 x 1.8 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.2042
tempObjectNumber: 28, Title: Plaque with figure of Atlas,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 7/8 x 9/16 x 3/16 in. (2.2 x 1.4 x 0.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3289
tempObjectNumber: 29, Title: Necklace,  Date: 7th–5th Century B.C.,  Culture: Etruscan,  Medium: Gold,  Dimensions: Diameter (pendant): 7/16 in. (1 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.257
tempObjectNumber: 30, Title: Vase fragment,  Period: Early Helladic,  Date: ca. 3000–2200 B.C.,  Medium: Terracotta,  Dimensions: 3 1/2 x 2 3/16in. (8.9 x 5.6cm),  Classification: Vases,  Credit Line: Gift of Gisela M. A. Richter 1923,  Accession Number: 23.121.10
