tempObjectNumber: 21, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Sard,  Dimensions: Other: 7/16 x 1/2 x 1/8 in. (1.1 x 1.3 x 0.4 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.1071
tempObjectNumber: 22, Title: Terracotta pithoid jar,  Period: Late Helladic IIIA1-2 early,  Date: ca. 1400–1350 B.C.,  Culture: Mycenaean,  Medium: Terracotta,  Dimensions: H. 6 5/16 in. (16 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.761
tempObjectNumber: 23, Title: Terracotta kantharos (drinking cup) with vertical ring handles,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta; black-glaze,  Dimensions: H. 2 15/16 in. (7.4 cm); diameter  3 3/4 in. (9.6 cm); width with handles  6 in. (15.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.233
tempObjectNumber: 24, Title: Terracotta bell-krater (bowl for mixing wine and water),  Attribution: the Persephone Painter,  Period: Classical,  Date: ca. 440 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 16 1/8 in. (41 cm); diameter of mouth 17 7/8 in. (45.4 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1928,  Accession Number: 28.57.23
tempObjectNumber: 25, Title: Seal discoid,  Period: Middle Minoan III–Late Minoan I,  Date: ca. 1650–1500 B.C.,  Culture: Minoan,  Medium: Rock crystal,  Dimensions: Diameter: 11/16 x 3/8 in. (1.8 x 0.9 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.358
tempObjectNumber: 26, Title: Bronze arrowhead,  Period: Late Bronze Age,  Date: ca. 1450–1050 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: length  5 3/8 in. (13.6 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5300
tempObjectNumber: 27, Title: Fragment of a terracotta plaque,  Period: Archaic,  Date: 7th century B.C.,  Culture: Greek Cretan,  Medium: Terracotta,  Dimensions: 2 7/8 in. x 1 3/4 in. (7.3 cm x 4.4 cm),  Classification: Terracottas,  Credit Line: Gift of the Archaeological Institute of America 1953,  Accession Number: 53.5.18
tempObjectNumber: 28, Title: Bronze patera handle in the form of Lasa,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: total H. 8 1/8 in. (20.6 cm); H. of figure  5 13/16 in. (14.7 cm),  Classification: Bronzes,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.9
tempObjectNumber: 29, Title: Volute-krater fragment,  Period: Late Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: 2 3/8 x 1 3/4in. (6 x 4.5cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.50
tempObjectNumber: 30, Title: Probe ?,  Medium: Bronze,  Dimensions: Other: 4 3/4 in. (12.1 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.128
tempObjectNumber: 31, Title: Eye inlays,  Medium: Bone ivory,  Classifications: Miscellaneous-Bone Ivory,  Credit Line: Rogers Fund 1914,  Accession Number: 14.130.1a–c
