tempObjectNumber: 21, Title: Ivory disk with rosette,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Ivory,  Dimensions: Diameter 2 3/16 in. (5.6 cm),  Classifications: Miscellaneous-Bone Ivory,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5216
tempObjectNumber: 22, Title: Bowl,  Period: Early Bronze Age,  Date: ca. 3200–2000 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Diam.: 4 9/16 in. (11.6 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5865
tempObjectNumber: 23, Title: Volute-krater fragment,  Period: Late Classical,  Date: ca. 350–300 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; red-figure,  Dimensions: 7 7/16 x 3 1/2in. (18.9 x 8.9cm),  Classification: Vases,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.81.15
tempObjectNumber: 24, Title: Statuette of a man,  Period: Hellenistic,  Date: 2nd–1st century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 5 3/4 in. (14.6 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.11
tempObjectNumber: 25, Title: Silver tetradrachm of Agathokles,  Period: Early Hellenistic,  Date: ca. 317–310 B.C.,  Culture: Greek Syracuse,  Medium: Silver,  Dimensions: Diameter: 1 × 3/16 in. 0.6oz. (2.6 × 0.5 cm 17.15g),  Classification: Coins,  Credit Line: Gift of Edmund Kerper 1952,  Accession Number: 52.127.8
tempObjectNumber: 26, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 15/16 x 3/4 in. (2.3 x 1.9 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1985
tempObjectNumber: 27, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Overall: 1 5/8 x 5 1/2 in. (4.1 x 14 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2067
tempObjectNumber: 28, Title: Earring with plain loop and disc,  Medium: Gold,  Dimensions: Other: 5/16 x 1/4 x 5/16 in. (0.8 x 0.7 x 0.9 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3714
tempObjectNumber: 29, Title: Pinhead,  Medium: Glass,  Dimensions: Height: 3/16 x 7/8 in. (0.5 x 2.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.632
tempObjectNumber: 30, Title: Intaglio,  Medium: Amethyst,  Dimensions: Other: 7/8 x 5/8 x 13/16 in. (2.3 x 1.5 x 2.1 cm),  Classification: Gems,  Credit Line: Bequest of Rupert L. Joseph 1960,  Accession Number: 60.55.75
