tempObjectNumber: 1, Title: Gold stater,  Period: Hellenistic,  Date: 323–315 B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Base: 3/4 in. (1.9 cm),  Classification: Coins,  Credit Line: Gift of Edmund Kerper Esq. 1952,  Accession Number: 52.127.2
tempObjectNumber: 22, Title: Steatite triangular prism,  Period: Middle Minoan I-II,  Date: ca. 2200–1750 B.C.,  Culture: Minoan,  Medium: Steatite,  Dimensions: L. 1.7 cm; W. of each side 1.3 cm,  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.105
tempObjectNumber: 23, Title: Seal,  Culture: Minoan Crete,  Medium: Steatite,  Dimensions: Other: 7/8 x 3/8 in. (2.2 x 0.9 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.310
tempObjectNumber: 24, Title: Necklace with blue beads,  Medium: Gold blue glass,  Dimensions: Other: 15 1/2 in. (39.4 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.136
tempObjectNumber: 25, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 15/16 x 1 7/16 in. (2.4 x 3.7 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1816
tempObjectNumber: 26, Title: Key,  Medium: Bronze,  Dimensions: Other: 1 11/16in. (4.3cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5363
tempObjectNumber: 27, Title: Statuette of a woman,  Period: Classical,  Date: 2nd half of the 5th century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H.: 10 5/16 in. (26.2 cm),  Classification: Terracottas,  Credit Line: Gift of Ernest Brummer 1959,  Accession Number: 59.48.5
tempObjectNumber: 28, Title: Terracotta kantharos (drinking cup),  Attribution: the Group of Vatican G.116,  Period: Hellenistic,  Date: ca. 300 B.C.,  Culture: Etruscan,  Medium: Terracotta; Malacena black-glaze,  Dimensions: H. 8 1/16 in. (20.5 cm); diameter of mouth  5 13/16 in. (14.8 cm),  Classification: Vases,  Credit Line: Rogers Fund 1903,  Accession Number: 03.24.23
tempObjectNumber: 29, Title: Marble female head from a relief,  Date: 2nd–3rd Century A.D.,  Medium: Limestone,  Dimensions: ,  Classification: Stone Sculpture,  Credit Line: Gift of Mr. Harry Jones 1965,  Accession Number: 65.77
tempObjectNumber: 30, Title: Bronze mare and foal,  Period: Geometric,  Date: late 8th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: Overall: 3 7/8 x 2 1/4 x 4 3/4in. (9.8 x 5.7 x 12.1cm),  Classification: Bronzes,  Credit Line: Gift of Mrs. Frederick M. Stafford in memory of Mr. Frederick M. Stafford 1999,  Accession Number: 1999.526
tempObjectNumber: 31, Title: Ring with Scarab,  Medium: Chalcedony gold,  Dimensions: Other: 1/4 x 7/16 x 1/8 in. (0.7 x 1.1 x 0.3 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4140
