tempObjectNumber: 21, Title: Statuette of a warrior-10,  Culture: Greek Laconian,  Medium: Lead,  Dimensions: Height: 15/16 in. (2.4 cm),  Classification: Miscellaneous-Lead,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.69
tempObjectNumber: 22, Title: Hemispheroid seal,  Period: Early Minoan III–Middle Minoan IA,  Date: ca. 2100–1900 B.C.,  Culture: Minoan,  Medium: Steatite,  Dimensions: Other: 9/16 in. (1.4 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.13
tempObjectNumber: 23, Title: Terracotta lekythos (oil flask),  Attribution: the Phiale Painter,  Period: Classical,  Date: ca. 440 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 17 7/16 in. (44.3 cm); diameter  5 3/8 in. (13.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.35
tempObjectNumber: 24, Title: Terracotta jug,  Period: Early Bronze Age,  Date: ca. 2500–1900 B.C.,  Culture: Cypriot,  Medium: Terracotta; Black Polished Ware,  Dimensions: H. 4 3/16 in. (10.6 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1239
tempObjectNumber: 25, Title: Bronze statuette of a Lar,  Period: Imperial,  Date: ca. 1st century A.D.,  Culture: Roman,  Medium: Bronze,  Dimensions: H. 5 1/16 in. (12.9 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1922,  Accession Number: 22.139.15
tempObjectNumber: 26, Title: Vase fragment,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 2 1/16 × 2 1/4 × 1/8 in. (5.2 × 5.7 × 0.4 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.109
tempObjectNumber: 27, Title: Glass bead,  Period: Late Classical,  Date: 2nd half of 4th century B.C.,  Culture: Carthaginian,  Medium: Glass; rod-formed,  Dimensions: 15/16 × 1 1/8 in. (2.3 × 2.8 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.728
tempObjectNumber: 28, Title: Gold pendant in the form of a lion's head,  Period: Classical,  Date: ca. 450–400 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diam.: 1/2 in. (1.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3329
tempObjectNumber: 29, Title: Earring crescent-shaped,  Medium: Gold,  Dimensions: Other: 3/4 × 11/16 × 1/8 in. (2 × 1.8 × 0.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3869
tempObjectNumber: 30, Title: Beads 51,  Medium: Glass,  Dimensions: Diameter (Largest bead): 11/16 in. (1.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.696
