tempObjectNumber: 21, Title: Bracelet,  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek,  Medium: Gold Silver,  Dimensions: diameter (restored)  3in. (7.6cm),  Classification: Gold and Silver,  Credit Line: Anonymous Gift 1993,  Accession Number: 1993.314
tempObjectNumber: 22, Title: Terracotta one-handled cup,  Period: Late Helladic IIIA,  Date: ca. 1400–1300 B.C.,  Culture: Helladic Mycenaean,  Medium: Terracotta,  Dimensions: diameter  5 1/16 in. (12.9 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1391
tempObjectNumber: 23, Title: Bronze pendant in the form of a paired couple,  Period: Geometric,  Date: 8th century B.C.,  Culture: Villanovan,  Medium: Bronze,  Dimensions: H.: 1 1/8 in. (2.9 cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Jonathan P. Rosen 1991,  Accession Number: 1991.171.55
tempObjectNumber: 24, Title: Marble statue of a boy,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Marble,  Dimensions: H. 16 3/4 in. (42.6 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.132
tempObjectNumber: 25, Title: Needle ?,  Medium: Bronze,  Dimensions: Other: 5 7/8 in. (14.9 cm),  Classification: Bronzes,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.137
tempObjectNumber: 26, Title: Gold earring with head of an antelope,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 5/8 x 1/4 x 9/16 in. (1.6 x 0.6 x 1.4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3453
tempObjectNumber: 27, Title: Die-counter or draught piece,  Culture: Cypriot,  Medium: Stone,  Dimensions: Diam.: 2 3/8 in. (6 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2296
tempObjectNumber: 28, Title: Horseman,  Period: Cypro-Classical II–Early Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Cypriot,  Medium: Terracotta; mold-made and hand-made,  Dimensions: H. 4 in. (10.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1652
tempObjectNumber: 29, Title: Terracotta statue of Eros holding an apple,  Period: Early Hellenistic,  Date: Late 4th century B.C.,  Culture: Greek Cypriot,  Medium: Terracotta; mold-made and hand-made,  Dimensions: H. 5 15/16 in. (15.1 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1745
tempObjectNumber: 30, Title: Glass network mosaic fragment,  Period: Early Imperial,  Date: late 1st century B.C.–early 1st century A.D.,  Culture: Roman,  Medium: Glass; cast,  Dimensions: Other: 1 5/16 x 1 7/16 in. (3.4 x 3.7 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1653
tempObjectNumber: 31, Title: Terracotta neck-amphora (jar),  Period: Archaic,  Date: ca. 560–550 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 14 7/16 in. (36.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.29
tempObjectNumber: 32, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 3/8 × 2 5/16 × 3/8 in. (3.5 × 5.9 × 1 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.237
tempObjectNumber: 33, Title: Jug,  Period: Cypro-Archaic I,  Date: 750–600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 7 11/16in. (19.5cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.586
tempObjectNumber: 34, Title: Tablet,  Period: Archaic,  Date: ca. 550–500 B.C.,  Culture: Etruscan,  Medium: Terracotta; bucchero pesante,  Dimensions: length  6 1/8in. (15.6cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.145g
tempObjectNumber: 35, Title: Terracotta stirrup jar,  Period: Late Cypriot III,  Date: ca. 1200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 4 11/16 in. (11.9 cm.),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1104
tempObjectNumber: 36, Title: Copper alloy spearhead,  Period: Early Bronze Age,  Date: ca. 2500–2000 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: 12 9/16in. (31.9cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5270
tempObjectNumber: 37, Title: Juglet,  Period: Cypro-Geometric III,  Date: 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 4 13/16in. (12.2cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.896
tempObjectNumber: 38, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 1/4 × 1 1/2 × 3/16 in. (3.2 × 3.8 × 0.4 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.183
tempObjectNumber: 39, Title: Fragment of a terracotta plaque,  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: 7 1/4 in. x 4 1/2 in. (18.4 cm x 11.4 cm),  Classification: Terracottas,  Credit Line: Gift of the Archaeological Institute of America 1953,  Accession Number: 53.5.39
tempObjectNumber: 40, Title: Earring trumpet-shaped,  Date: 5th–3rd century B.C.,  Culture: Etruscan,  Medium: Gold,  Dimensions: Other (.185): 1 7/16 × 1/2 × 1 1/2 in. (3.7 × 1.2 × 3.8 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.184 .185
tempObjectNumber: 41, Title: Glass two-handled jar,  Period: Late Imperial,  Date: 4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 2 1/16 in. (5.3 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.156
