tempObjectNumber: 21, Title: Terracotta column-krater (bowl for mixing wine and water),  Attribution: the Agrigento Painter,  Period: Classical,  Date: ca. 470–460 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 17 9/16 in. (44.6 cm); diameter  14 3/4 in. (37.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1915,  Accession Number: 15.27
tempObjectNumber: 22, Title: Marble bird's-nest bowl,  Period: Middle Minoan I–II,  Date: ca. 1800–1700 B.C.,  Culture: Minoan,  Medium: Marble,  Dimensions: H. 1 5/8 in. (4.1 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: Funds from various donors 1924,  Accession Number: 24.150.4
tempObjectNumber: 23, Title: Intaglio,  Medium: Chalcedony,  Dimensions: Other: 9/16 x 7/16 x 1/16 in. (1.4 x 1.1 x 0.2 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.217
tempObjectNumber: 24, Title: Glass bracelet,  Period: Late Imperial,  Date: ca. 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; drawn and tooled,  Dimensions: Overall: 15/16 x 2 11/16in. (2.4 x 6.8cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.348
tempObjectNumber: 25, Title: Glass amphoriskos (perfume bottle),  Period: Hellenistic,  Date: 2nd to mid–1st century B.C.,  Culture: Greek Eastern Mediterranean,  Medium: Glass; core-formed Group III,  Dimensions: Diam.: 2 1/16 in. (5.3 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.591
tempObjectNumber: 26, Title: Stucco relief panel,  Period: Early Imperial,  Date: 2nd half of 1st century A.D.,  Culture: Roman,  Medium: Stucco,  Dimensions: Overall: 9 1/2 x 14 3/8 x 2 1/4 in. (24.1 x 36.5 x 5.7 cm),  Classification: Miscellaneous-Stucco,  Credit Line: Gift of Henry G. Marquand 1892,  Accession Number: 92.11.9
tempObjectNumber: 27, Title: Glass base,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 1/8 in. (5.4 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.300
tempObjectNumber: 28, Title: Cup,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Other (diameter of mouth): 4 3/8in. (11.1cm),  Classification: Vases,  Credit Line: Rogers Fund 1916,  Accession Number: 16.174.30
tempObjectNumber: 29, Title: Seal,  Culture: Minoan Crete,  Medium: Chalcedony,  Dimensions: Other: 5/8 x 13/16 x 5/16 in. (1.6 x 2.1 x 0.8 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.213
tempObjectNumber: 30, Title: Bead,  Culture: Roman,  Medium: Glass,  Dimensions: Diam.: 7/8 x 9/16 in. (2.3 x 1.4 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.415
