tempObjectNumber: 1, Title: Bronze statuette of a man,  Period: Classical,  Date: 3rd quarter of the 5th century B.C. or later,  Culture: Greek,  Medium: Bronze,  Classification: Bronzes,  Credit Line: Fletcher Fund 1929,  Accession Number: 29.48a
tempObjectNumber: 2, Title: Intaglio,  Culture: Roman,  Medium: Glass green,  Dimensions: Other: 3/4 x 3/8 x 1/16 in. (1.8 x 1 x 0.2 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.929
tempObjectNumber: 3, Title: Ring motto,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 5/16 x 1/4 x 1/2 in. (0.8 x 0.7 x 1.3 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4096
tempObjectNumber: 4, Title: Pelike fragmentary,  Attribution: the Syleus Painter,  Period: Classical,  Date: ca. 470 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1985,  Accession Number: 1985.108.1
tempObjectNumber: 5, Title: Dagger blade,  Period: Early Bronze Age,  Date: ca. 3000–2000 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: 6 3/4in. (17.1cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5291
tempObjectNumber: 6, Title: Bead,  Culture: Roman,  Medium: Glass,  Dimensions: Height: 1/4 x 3/16 in. (0.6 x 0.5 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.555
tempObjectNumber: 7, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Carnelian,  Dimensions: Other: 3/8 x 1/2 x 1/8 in. (1 x 1.3 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.174
tempObjectNumber: 8, Title: Bronze buttons,  Period: Imperial,  Date: 1st–3rd century A.D.,  Culture: Roman Cypriot,  Medium: Bronze,  Dimensions: Length (length of each): 7/8 in. (2.2 cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5693
tempObjectNumber: 9, Title: Terracotta amphora (jar),  Attribution: the Orvieto Painter,  Period: Archaic,  Date: ca. 540 B.C.,  Culture: Greek Chalcidian,  Medium: Terracotta; black-figure,  Dimensions: H. 10 3/8 in. (26.4 cm); diameter of mouth  4 5/16 in. (10.9 cm); diameter of foot  3 11/16 in. (9.3 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1956,  Accession Number: 56.171.1
tempObjectNumber: 10, Title: Cameo,  Medium: Sardonyx,  Dimensions: Other: 7/8 x 7/8 x 1/16 in. (2.3 x 2.2 x 0.2 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.260
tempObjectNumber: 11, Title: Gold beryl and garnet earring,  Period: Late Imperial,  Date: 3rd century A.D.,  Culture: Roman Cypriot,  Medium: Gold ruby stone glass paste,  Dimensions: Other: 1 9/16 in. (4 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3968
tempObjectNumber: 12, Title: Bowl,  Medium: Silver,  Dimensions: Height: 1 1/16 in. (2.8 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1919,  Accession Number: 19.192.59
tempObjectNumber: 13, Title: Intaglio,  Medium: Jasper red,  Dimensions: Other: 9/16 x 7/16 x 1/8 in. (1.4 x 1.1 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of Miss Helen Miller Gould 1910,  Accession Number: 10.130.1409
tempObjectNumber: 14, Title: Limestone statuette of Pan,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 14 1/2 x 4 x 2 in. (36.8 x 10.2 x 5.1 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2733
tempObjectNumber: 15, Title: Terracotta alabastron (perfume vase),  Period: Early Corinthian,  Date: ca. 620–590 B.C.,  Culture: Greek Corinthian,  Medium: Terracotta,  Dimensions: H. 5 5/16 in. (13.5 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.15
tempObjectNumber: 16, Title: Gold and enamel ring,  Period: Early Archaic,  Date: 6th century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Length: 5/8 in. (1.6 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4061
tempObjectNumber: 17, Title: Bronze lamp,  Period: Cypro-Archaic–Cypro-Classical,  Date: 6th–5th century B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: length  14.3 cm; width 12.5 cm,  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5650
tempObjectNumber: 18, Title: Fragment of a terracotta skyphos (deep drinking cup),  Attribution: a follower of Douris,  Period: Archaic,  Date: ca. 490 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: Other: 4 7/8 in. (12.4 cm),  Classification: Vases,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.51
tempObjectNumber: 19, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 7/8 x 1 13/16 in. (2.2 x 4.6 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1721
tempObjectNumber: 20, Title: Arrowhead,  Medium: Bronze,  Dimensions: Other: 15/16in. (2.4cm),  Classification: Bronzes,  Credit Line: Purchase 1898,  Accession Number: 98.11.33f
tempObjectNumber: 21, Title: Glass eye beads,  Period: Hellenistic,  Date: ca. 330–70 B.C.,  Culture: Phoenician,  Medium: Glass,  Dimensions: 4 7/16in. (11.3cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.316
tempObjectNumber: 22, Title: Glass jug,  Period: Early Imperial Julio-Claudian,  Date: 1st half of 1st century A.D.,  Culture: Roman,  Medium: Glass; blown in a four-part mold,  Dimensions: H.: 3 13/16 in. (9.7 cm),  Classification: Glass,  Credit Line: Bequest of George D. Pratt 1935,  Accession Number: 37.128.9
tempObjectNumber: 23, Title: Gold pendant in the form of Herakle's club,  Period: Hellenistic,  Date: 3rd or 2nd century B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 1 1/16 in. (2.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3313
tempObjectNumber: 24, Title: Terracotta neck-amphora of Panathenaic shape (jar),  Attribution: the Syleus Painter,  Period: Classical,  Date: ca. 480–470 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: diameter  11 7/16 in. (29 cm),  Classification: Vases,  Credit Line: Rogers Fund 1920,  Accession Number: 20.244
tempObjectNumber: 25, Title: Antefix with scrolls and palmette,  Period: Classical,  Date: 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta,  Dimensions: 6 3/8 x 7 5/16 in.  (16.2 x 18.6 cm),  Classification: Terracottas,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.15
