tempObjectNumber: 22, Title: Glass flask,  Period: Late Imperial,  Date: mid-3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Other: 2 3/4in. (7cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.31
tempObjectNumber: 23, Title: Cup,  Period: Bronze Age,  Date: ca. 3200–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 4 1/16in. (10.3cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1106
tempObjectNumber: 24, Title: Bead pendants tubular,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diameter: 1/4 x 5/8 in. (0.7 x 1.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3314
tempObjectNumber: 25, Title: Gold and amber fibula (safety pin),  Period: Archaic,  Date: 7th–6th century B.C.,  Culture: Italic,  Medium: Gold amber,  Dimensions: Other: 2 11/16 in. (6.8 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.122
tempObjectNumber: 26, Title: Silver swivel ring with ivory scarab in gold setting,  Period: Archaic,  Date: 7th–early 5th century B.C.,  Culture: Cypriot or Phoenician,  Medium: Silver ivory,  Dimensions: Other: 13/16 in. (2 cm),  Classification: Gems,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4181
tempObjectNumber: 27, Title: Terracotta vessel fragment with cross-hatched design,  Period: Early Minoan II,  Date: ca. 2900–2300 B.C.,  Culture: Minoan,  Medium: Terracotta; Koumasa ware,  Dimensions: Other: 2 7/16 x 2 1/16 in. (6.2 x 5.2 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.44
tempObjectNumber: 28, Title: Intaglio,  Date: 1st century B.C.–3rd century A.D.,  Culture: Roman,  Medium: Sard,  Dimensions: Other: 9/16 x 3/8 x 1/16 in. (1.4 x 0.9 x 0.2 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.149
tempObjectNumber: 29, Title: Bead,  Medium: Glass,  Dimensions: Height: 11/16 x 7/8 in. (1.8 x 2.3 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.704
tempObjectNumber: 30, Title: Glass beaker,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown and cut,  Dimensions: Diam.: 3 11/16 in. (9.4 cm),  Classification: Glass,  Credit Line: Bequest of Mary Anna Palmer Draper 1914,  Accession Number: 15.43.140
tempObjectNumber: 31, Title: Vase fragment,  Period: Early Minoan II,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 2 1/2 × 3 9/16 × 1/4 in. (6.3 × 9 × 0.6 cm),  Classification: Vases,  Credit Line: Gift of American Exploration Society 1907,  Accession Number: 07.232.36
