tempObjectNumber: 22, Title: Fragment of a terracotta relief,  Period: Archaic,  Date: 7th century B.C.,  Culture: Greek Cretan,  Medium: Terracotta,  Dimensions: 2 1/2 in x 2 in. (6.3 cm x 5 cm),  Classification: Terracottas,  Credit Line: Gift of the Archaeological Institute of America 1953,  Accession Number: 53.5.28
tempObjectNumber: 23, Title: Vase fragment,  Period: Helladic,  Culture: Aegean,  Medium: Terracotta,  Dimensions: 1 × 1 5/16 × 3/8 in. (2.6 × 3.3 × 0.9 cm),  Classification: Vases,  Credit Line: Anonymous Gift 1933,  Accession Number: 33.138.6
tempObjectNumber: 24, Title: Vase fragment,  Culture: East Greek/Sardis Lydian,  Medium: Terracotta,  Dimensions: Overall: 3 1/8 x 2 3/4in. (7.9 x 7cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.255
tempObjectNumber: 25, Title: Limestone plaque with two eyes,  Period: Classical,  Date: 480–310 B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 2 15/16 x 4 13/16 x 3/4 in.  (7.49 x 12.19 x 1.9 cm),  Classification: Miscellaneous-Stone,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5167
tempObjectNumber: 26, Title: Vase fragment,  Period: Archaic,  Date: ca. 625–600 B.C.,  Culture: Greek Laconian,  Medium: Terracotta,  Dimensions: 1 1/8 × 1 1/8 × 3/16 in. (2.8 × 2.9 × 0.5 cm),  Classification: Vases,  Credit Line: Gift of A. J. B. Wace 1924,  Accession Number: 24.195.204
tempObjectNumber: 27, Title: Terracotta globular cup with two handles,  Period: Archaic,  Date: last quarter of the 6th century B.C.,  Culture: Etruscan,  Medium: Terracotta; black-figure Pontic ware,  Dimensions: H.: 5 3/4 in. (14.6 cm),  Classification: Vases,  Credit Line: Rogers Fund 2009,  Accession Number: 2009.316
tempObjectNumber: 28, Title: Terracotta phiale (libation bowl),  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian Campanian Calenian,  Medium: Terracotta; black-glaze,  Dimensions: diameter  7 3/4in. (19.7cm),  Classification: Vases,  Credit Line: Purchase 1901,  Accession Number: 01.8.13
tempObjectNumber: 29, Title: Earring with ball pendant and paste setting,  Culture: Roman,  Medium: Gold glass paste,  Dimensions: Other: 1/4 x 1/2 x 7/8 in. (0.7 x 1.2 x 2.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3807
tempObjectNumber: 30, Title: Lamp,  Date: 2nd century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: Overall: 7/8 x 3 1/4 in. (2.2 x 8.3 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1961
tempObjectNumber: 31, Title: Terracotta reilef roundel with head of Medusa,  Period: Hellenistic,  Date: 2nd century B.C.,  Culture: Greek,  Medium: Terracotta; mold-made,  Dimensions: H. 3 1/16 in. (7.8 cm.),  Classification: Terracottas,  Credit Line: Gift of F. W. Rhinelander 1898,  Accession Number: 98.8.30
tempObjectNumber: 32, Title: Glass jar,  Period: Mid-Imperial,  Date: 2nd–3rd century A.D.,  Medium: Glass; blown,  Dimensions: Diameter: 2 7/8 x 2 3/8 in. (7.3 x 6 cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.237
tempObjectNumber: 33, Title: Lekythos,  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta; black-figure,  Dimensions: H. 4 1/16 in. (10.3 cm),  Classification: Vases,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.78.65
tempObjectNumber: 34, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Overall: 1 x 3 1/8 in. (2.5 x 7.9 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1912
tempObjectNumber: 35, Title: Lamp,  Date: 3rd century B.C.,  Medium: Terracotta,  Dimensions: Overall: 2 x 3 7/8 in. (5.1 cm 3 7/8 in.),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1882
tempObjectNumber: 36, Title: Copper alloy dagger blade,  Period: Early or Middle Bronze Age,  Date: ca. 2200–1800 B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: 6 9/16in. (16.7cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5288
tempObjectNumber: 37, Title: Glass perfume bottle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: H.: 4 1/4 in. (10.8 cm),  Classification: Glass,  Credit Line: Bequest of Theodore M. Davis 1915,  Accession Number: 30.115.45
tempObjectNumber: 38, Title: Intaglio,  Culture: Roman,  Medium: Amethyst,  Dimensions: Other: 1/2 x 7/16 x 3/16 in. (1.3 x 1.1 x 0.4 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.911
tempObjectNumber: 39, Title: Alabaster alabastron (perfume vase),  Period: Classical,  Date: 5th–4th century B.C.,  Culture: Cypriot,  Medium: Calcite (alabaster),  Dimensions: Overall: 5 1/8 x 1 5/8 in. (13 x 4.1 cm),  Classification: Miscellaneous-Stone Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5087
tempObjectNumber: 40, Title: Glass amphoriskos with horizontal ribs,  Period: Early Imperial,  Date: 2nd half of 1st century A.D.,  Culture: Roman,  Medium: Glass; blown in a two-part mold,  Dimensions: H.: 3 1/8 x 1 1/2 x 1 1/16 in. (7.9 x 3.8 x 2.7 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.215
tempObjectNumber: 41, Title: Terracotta jug,  Period: Late Cypriot II,  Date: ca. 1450–1200 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 11 1/16 in. (28.1 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1089
tempObjectNumber: 42, Title: Statuette,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Sicilian,  Medium: Terracotta,  Dimensions: H.: 7 1/4 in. (18.4 cm),  Classification: Terracottas,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.458
tempObjectNumber: 43, Title: Altar of Lares,  Medium: Plaster,  Accession Number: 39.57.3
tempObjectNumber: 44, Title: Gold roundel with stamped designs,  Period: Late Bronze Age,  Date: ca. 1600–1050 B.C.,  Culture: Cypriot,  Medium: Gold,  Dimensions: Diam.: 1 7/16 in. (3.7 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3010
tempObjectNumber: 45, Title: Vase fragment,  Period: Neolithic second period,  Date: ca. 4000–3000 B.C.,  Culture: Neolithic Thessaly,  Medium: Terracotta,  Dimensions: length  1 5/8in. (4.2cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.14
tempObjectNumber: 46, Title: Terracotta squat lekythos (oil jar),  Period: Late Classical,  Date: early 4th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Dimensions: H. 3 7/8 in. (9.9 cm),  Classification: Vases,  Credit Line: Gift of Francis Neilson 1942,  Accession Number: 42.201.3
tempObjectNumber: 47, Title: Glass bottle in the shape of a bird,  Period: Late Imperial,  Date: 3rd–4th century A.D.,  Culture: Roman,  Medium: Glass; blown trailed and tooled,  Dimensions: H.: 3 7/16 in. (8.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.138
tempObjectNumber: 48, Title: Limestone male figure in Egyptian dress,  Period: Archaic,  Date: 2nd quarter of the 6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: H. 53 3/4 in. (136.5 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2467
tempObjectNumber: 49, Title: Earring,  Culture: Cypriot,  Medium: Gold bronze,  Dimensions: Diameter: 9/16 x 1/16 in. (1.5 x 0.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3337
tempObjectNumber: 50, Title: Limestone funerary cippus (tomb marker),  Period: Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman Cypriot,  Medium: Limestone,  Dimensions: H.: 17 1/4 in. (43.8 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2265
tempObjectNumber: 51, Title: Bronze patera handle in the form of a young woman,  Period: Archaic,  Date: last quarter of the 6th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: length  7 5/8in. (19.3cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1941,  Accession Number: 41.11.5a
tempObjectNumber: 52, Title: Strainer,  Medium: Bronze,  Dimensions: Other: 1 7/8 × 12 1/8 × 5 1/4 in. (4.8 × 30.8 × 13.3 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.376
tempObjectNumber: 53, Title: Mosaic glass fragment,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 13/16 x 13/16 in. (2.1 x 2.1 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1862
tempObjectNumber: 54, Title: Terracotta kylix: hybrid Siana lip-cup (drinking cup),  Attribution: an artist related to the C Painter,  Period: Archaic,  Date: ca. 560 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: diameter  11 1/8 in. (28.3 cm),  Classification: Vases,  Credit Line: Rogers Fund 1912,  Accession Number: 12.234.1
tempObjectNumber: 55, Title: Bronze ring surmounted by a ram,  Period: Geometric,  Date: second half of the 8th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: diameter  2 1/8 in. (5.4 cm),  Classification: Bronzes,  Credit Line: Gift of Mr. and Mrs. Henri Seyrig 1954,  Accession Number: 54.137.2
tempObjectNumber: 56, Title: Antefix head of Medusa,  Period: Archaic,  Date: 6th century B.C.,  Culture: West Greek,  Medium: Terracotta,  Dimensions: Overall: 7 1/8 x 8 15/16in. (18.1 x 22.7cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1917,  Accession Number: 17.230.45
tempObjectNumber: 57, Title: Marble relief with a horseman,  Period: Classical,  Date: 4th century B.C.,  Culture: Greek,  Medium: Marble Pentelic,  Dimensions: depth  3 in. (7.6 cm),  Classification: Stone Sculpture,  Credit Line: Rogers Fund 1912,  Accession Number: 12.229.1
tempObjectNumber: 58, Title: Glass cup in the form of the head of an African,  Period: Early Imperial Flavian,  Date: 2nd half of 1st century A.D.,  Culture: Roman,  Medium: Glass; blown in a three-part mold,  Dimensions: H. 4 1/8in. (10.5cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.226
tempObjectNumber: 59, Title: Gilt terracotta statuette of a goat,  Period: Late Helladic IIIA,  Date: 14th century B.C.,  Culture: Mycenaean,  Medium: Terracotta gold,  Dimensions: H. 3 in. (7.6 cm.),  Classification: Terracottas,  Credit Line: Fletcher Fund 1939,  Accession Number: 39.11.1
tempObjectNumber: 60, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 15/16 × 1 5/8 × 1/8 in. (2.5 × 4.1 × 0.3 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.240
tempObjectNumber: 61, Title: Dying Niobid,  Classification: (not assigned),  Accession Number: 26.133
tempObjectNumber: 62, Title: Vase fragment,  Period: Late Minoan I,  Date: ca. 1600–1450 B.C.,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 2 3/4 × 2 13/16 × 1/4 in. (6.9 × 7.2 × 0.7 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.102
tempObjectNumber: 63, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Length 9.9 cm.  H. 2.7 cm.,  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1968
tempObjectNumber: 64, Title: Terracotta marbled slip ware bowl,  Period: Early Imperial Neronian,  Date: mid-1st century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: diameter  5 11/16 in. (14.4 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.852
tempObjectNumber: 65, Title: White stone engraved gem,  Period: Archaic,  Date: late 7th–late 6th century B.C.,  Culture: Greek,  Medium: White stone,  Dimensions: 1 in. (2.5 cm),  Classification: Gems,  Credit Line: Purchase Joseph Pulitzer Bequest 1942,  Accession Number: 42.11.9
tempObjectNumber: 66, Title: Pendant: female head,  Period: Classical,  Date: 5th century B.C.,  Culture: Italic,  Medium: Amber,  Dimensions: H.: 1 15/16 in. (4.9 cm),  Classification: Miscellaneous-Amber,  Credit Line: Purchase Renée E. and Robert A. Belfer Patti Cadby Birch and The Joseph Rosen Foundation Inc. Gifts and Harris Brisbane Dick Fund 1992,  Accession Number: 1992.11.6
tempObjectNumber: 67, Title: Earrings,  Date: 5th–3rd century B.C.,  Culture: Etruscan,  Medium: Gold,  Dimensions: Diameter (.171): 7/16 × 1/16 in. (1.2 × 0.2 cm),  Classification: Gold and Silver,  Credit Line: Purchase by subscription 1895,  Accession Number: 95.15.170 .171
tempObjectNumber: 68, Title: Vase fragment,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Overall: 2 11/16 x 5 5/16in. (6.8 x 13.5cm),  Classification: Vases,  Credit Line: Rogers Fund 1916,  Accession Number: 16.174.34.14
tempObjectNumber: 69, Title: Statuette of an animal,  Period: Classical,  Date: 5th century B.C.,  Culture: East Greek/Sardis,  Medium: Terracotta,  Dimensions: H. 2 5/16 in. (5.9 cm),  Classification: Terracottas,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.164.5
tempObjectNumber: 70, Title: Plate,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: Other: 6 3/8in. (16.2cm),  Classification: Vases,  Credit Line: Rogers Fund 1941,  Accession Number: 41.162.55
tempObjectNumber: 71, Title: Bronze appliqué,  Period: Archaic,  Date: late 7th–6th century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: H. 5 3/4 in. (14.6 cm),  Classification: Bronzes,  Credit Line: Purchase 1901,  Accession Number: 01.16.1
tempObjectNumber: 72, Title: Glass jug,  Period: Early to Mid Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: Other: 2 7/16in. (6.2cm),  Classification: Glass,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.105
tempObjectNumber: 73, Title: Gold earring with head of an antelope,  Period: Classical or Hellenistic,  Date: 4th–3rd century B.C.,  Culture: Greek,  Medium: Gold,  Dimensions: Other: 7/16 x 1/8 x 7/16 in. (1.2 x 0.3 x 1.2 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3426
tempObjectNumber: 74, Title: Terracotta oinochoe (jug),  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-glaze,  Dimensions: H. 7 5/8 in. (19.4 cm),  Classification: Vases,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1021.105
tempObjectNumber: 75, Title: Terracotta statuette of a draped woman,  Period: Classical,  Date: 4th century B.C.,  Culture: Greek Attic or Boeotian,  Medium: Terracotta,  Dimensions: Height: 7 9/16 in. (19.2 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1068
tempObjectNumber: 76, Title: Silver handle,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Silver,  Dimensions: Other: 2 1/8 in. (5.4 cm),  Classification: Gold and Silver,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.41
tempObjectNumber: 77, Title: Amphoriskos,  Period: Middle Cypriot,  Date: 1900–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 4 5/8 in. (11.8 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1146
tempObjectNumber: 78, Title: Bead,  Culture: Roman,  Medium: Glass,  Dimensions: Height: 5/16 x 1/2 in. (0.8 x 1.2 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.551
tempObjectNumber: 79, Title: Vase fragment,  Period: Helladic,  Culture: Greek Laconian,  Medium: Terracotta,  Dimensions: 2 1/16 x 1 1/4in. (5.2 x 3.2cm),  Classification: Vases,  Credit Line: Gift of A. J. B. Wace 1923,  Accession Number: 23.119.10
tempObjectNumber: 80, Title: Intaglio,  Medium: Plasma,  Dimensions: Other: 5/16 x 3/8 x 1/8 in. (0.8 x 1 x 0.3 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.322
tempObjectNumber: 81, Title: Mirror,  Culture: Roman Cypriot,  Medium: Bronze,  Dimensions: Other: 3 3/8in. (8.6cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5421
tempObjectNumber: 82, Title: Terracotta stemless kylix (drinking cup),  Attribution: the Asteas Workshop,  Period: Classical,  Date: late 4th century B.C.,  Culture: Greek South Italian Paestan,  Medium: Terracotta; applied color,  Dimensions: diameter of bowl  5 1/8in. (13cm),  Classification: Vases,  Credit Line: Rogers Fund 1989,  Accession Number: 1989.11.12
tempObjectNumber: 83, Title: Terracotta bird-shaped vase,  Period: Cypro-Geometric III,  Date: ca. 850–750 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H. 5 1/8 in. (13 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.785
tempObjectNumber: 84, Title: Vase fragment,  Period: Helladic,  Culture: Greek Laconian,  Medium: Terracotta,  Dimensions: 2 1/8 x 1 13/16in. (5.4 x 4.6cm),  Classification: Vases,  Credit Line: Gift of A. J. B. Wace 1923,  Accession Number: 23.119.16
tempObjectNumber: 85, Title: Skyphos fragment,  Attribution: Splanchnopt Painter,  Period: Classical,  Date: ca. 470 B.C.,  Culture: Greek Attic,  Medium: Terracotta; red-figure,  Classification: Vases,  Credit Line: Gift of Dietrich von Bothmer 1976,  Accession Number: 1976.157
tempObjectNumber: 86, Title: Gold aureus of Vespasian,  Period: Early Imperial Flavian,  Date: A.D. 77–78,  Culture: Roman,  Medium: Gold; mint of Rome,  Dimensions: Other: 3/4 x 1/8 in. (2 x 0.2 cm),  Classification: Coins,  Credit Line: Gift of Joseph H. Durkee 1899,  Accession Number: 99.35.163
tempObjectNumber: 87, Title: Glass bottle,  Period: Late Imperial,  Date: ca. 4th–5th century A.D.,  Culture: Roman,  Medium: Glass; blown,  Dimensions: Diam.: 2 7/8 x 7/8 in. (7.3 x 2.2 cm),  Classification: Glass,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.1249
tempObjectNumber: 88, Title: Terracotta rim of a cup with polychrome motifs,  Period: Middle Minoan II,  Date: ca. 1800–1700 B.C.,  Culture: Minoan,  Medium: Terracotta; Kamares ware,  Dimensions: Overall: 1 1/2 x 1 9/16in. (3.8 x 4cm),  Classification: Vases,  Credit Line: Gift of Ashmolean Museum by exchange 1911,  Accession Number: 11.186.38
tempObjectNumber: 89, Title: Kantharos,  Culture: Etruscan,  Medium: Terracotta,  Dimensions: Diam. of foot: 2 1/4 in. (5.7 cm),  Classification: Vases,  Credit Line: Purchase 1896,  Accession Number: 96.9.164
tempObjectNumber: 90, Title: Frontlet of gold leaf,  Medium: Gold,  Dimensions: Other: 9/16 × 8 7/8 in. (1.4 × 22.5 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3549
