tempObjectNumber: 1, Title: Head of a youth,  Period: Hellenistic,  Date: 3rd–2nd century B.C.,  Culture: Greek,  Medium: Terracotta,  Dimensions: H. 3 3/4 in. (9.5 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1907,  Accession Number: 07.286.22
tempObjectNumber: 22, Title: Oinochoe trefoil,  Period: Late Classical,  Date: ca. 350–300 B.C.,  Culture: Greek South Italian Apulian,  Medium: Terracotta; applied color,  Dimensions: H. 30.20 cm.,  Classification: Vases,  Credit Line: Purchase The Abraham Foundation Inc. Gift 1978,  Accession Number: 1978.11.5
tempObjectNumber: 23, Title: Lamp,  Date: 1st century B.C.–1st century A.D.,  Medium: Terracotta,  Dimensions: Overall: 1 11/16 x 4 7/8 in. (4.3 x 12.4 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2080
tempObjectNumber: 24, Title: Terracotta lekythos (oil flask),  Period: Classical,  Date: ca. 420 B.C.,  Culture: Greek Attic,  Medium: Terracotta; white-ground,  Dimensions: H.: 14 1/16 in. (35.7 cm),  Classification: Vases,  Credit Line: Rogers Fund 1908,  Accession Number: 08.258.19
tempObjectNumber: 25, Title: Limestone statuette of Bes,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall:H.: 5 1/2 x W.:2 3/4 x D.:2 1/8 in. (14 x 7 x 5.4 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2613
tempObjectNumber: 26, Title: Intaglio,  Culture: Roman,  Medium: Agate,  Dimensions: Other: 5/16 x 3/16 in. (0.7 x 0.5 cm),  Classification: Gems,  Credit Line: Bequest of W. Gedney Beatty 1941,  Accession Number: 41.160.797
tempObjectNumber: 27, Title: Bronze cock,  Period: Hellenistic,  Date: ca. 3rd–1st century B.C.,  Culture: Greek,  Medium: Bronze,  Dimensions: H.: 2 in. (5.1 cm),  Classification: Bronzes,  Credit Line: Rogers Fund 1921,  Accession Number: 21.88.51
tempObjectNumber: 28, Title: Terracotta lekythos,  Attribution: the Diosphos Painter,  Period: Archaic,  Date: ca. 500 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: 6 7/8in. (17.4cm),  Classification: Vases,  Credit Line: Fletcher Fund 1925,  Accession Number: 25.70.2
tempObjectNumber: 29, Title: Lamp,  Culture: Roman Cypriot,  Medium: Terracotta,  Dimensions: Overall: 1 1/8 x 2 3/4 in. (2.9 x 7 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2247
tempObjectNumber: 30, Title: Skyphos fragments 4,  Period: Late Archaic,  Date: ca. 500–475 B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 3 in. (7.6 cm),  Classification: Vases,  Credit Line: Gift of The American Society for the Excavation of Sardis 1926,  Accession Number: 26.199.250 .251
tempObjectNumber: 31, Title: Relief fragment with an Amazonomachy,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman South Italian (Campanian) ?,  Medium: Terracotta,  Dimensions: Overall: 4 15/16 x 8 3/4 x 1 1/2 in. (12.5 x 22.2 x 3.8 cm),  Classification: Terracottas,  Credit Line: Nicholas S. Zoullas Fund Gift 1989,  Accession Number: 1989.11.10
tempObjectNumber: 32, Title: Marble plaque with epigram of Sopatros,  Period: Imperial,  Date: ca. 2nd–3rd century A.D.,  Culture: Roman Cypriot,  Medium: Marble,  Dimensions: Overall: 5 9/16 x 15 1/8 x 11/16 in. (14.1 x 38.4 x 1.7 cm),  Classification: Cesnola Inscriptions,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2390
