tempObjectNumber: 19, Title: Terracotta Hadra hydria (water jar),  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek Egypt Alexandria-Hadra,  Medium: Terracotta,  Dimensions: Overall: 16 1/2 x 11 3/8 in. (41.9 x 28.9 cm),  Classification: Vases,  Credit Line: Purchase 1890,  Accession Number: 90.9.42
tempObjectNumber: 20, Title: Chalcedony intaglio: Lion-headed serpent,  Period: Imperial,  Date: ca. 2nd–3rd century A.D.,  Culture: Roman,  Medium: Chalcedony,  Dimensions: Other: 5/8 x 1/2 x 1/4 in. (1.7 x 1.3 x 0.6 cm),  Classification: Gems,  Credit Line: Gift of John Taylor Johnston 1881,  Accession Number: 81.6.302
tempObjectNumber: 21, Title: Lekythos,  Period: Archaic,  Date: 6th century B.C.,  Culture: Greek Attic,  Medium: Terracotta; black-figure,  Dimensions: H. 10 3/8 in. (26.4 cm),  Classification: Vases,  Credit Line: Edward C. Moore Collection Bequest of Edward C. Moore 1891,  Accession Number: 91.1.447
tempObjectNumber: 22, Title: Composite bowl,  Period: Early–Middle Cypriot,  Date: 2500–1600 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 6 15/16 in. (17.6 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1298
tempObjectNumber: 23, Title: Terracotta bottle,  Period: Hellenistic,  Date: late 4th–early 3rd century B.C.,  Culture: Greek South Italian Apulian Gnathian,  Medium: Terracotta; applied color,  Dimensions: H. 6 3/8 in. (16.2 cm),  Classification: Vases,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.34
tempObjectNumber: 24, Title: Gold earring with ring and hook,  Period: Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Gold,  Dimensions: Other: 7/8 in. (2.3 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3920
tempObjectNumber: 25, Title: Seated limestone kourotrophos,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall:H.: 7 3/8 x W.:4 15/16 x D.:1 7/8 in. (18.7 x 12.5 x 4.8 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2528
tempObjectNumber: 26, Title: Terracotta Hadra hydria (water jar),  Period: Hellenistic,  Date: 220–219 B.C.,  Culture: Greek Egypt Alexandria-Hadra,  Medium: Terracotta,  Dimensions: Overall: 16 3/4 x 11 11/16 in. (42.5 x 29.7 cm),  Classification: Vases,  Credit Line: Purchase 1890,  Accession Number: 90.9.39
tempObjectNumber: 27, Title: Marble head of Aphrodite?,  Period: Hellenistic,  Date: 2nd–1st century BC,  Culture: Greek,  Medium: Marble,  Dimensions: Overall: 5 1/2 x 1 7/8 in. (14 x 4.8 cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1924,  Accession Number: 24.97.88b
tempObjectNumber: 28, Title: Terracotta lamp,  Period: Early Imperial Augustan,  Date: ca. 20 B.C.–A.D. 25,  Culture: Roman,  Medium: Terracotta; mold-made,  Dimensions: Overall: 1 1/8 x 3 11/16in. (2.9 x 9.4cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1940
