tempObjectNumber: 18, Title: Bronze thymiaterion (incense burner),  Period: Cypro-Archaic II,  Date: 6th century B.C.,  Culture: Cypriot,  Medium: Bronze,  Dimensions: Other (diameter of saucer): 8 5/8in. (21.9cm),  Classification: Bronzes,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5566
tempObjectNumber: 19, Title: Terracotta female figure,  Period: Cypro-Geometric II–III,  Date: ca. 950–750 B.C.,  Culture: Cypriot,  Medium: Terracotta; wheel-made and hand-made,  Dimensions: H. 9 1/8 in. (23.2 cm),  Classification: Terracottas,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1610
tempObjectNumber: 20, Title: Terracotta protome of a goddess,  Period: Archaic,  Date: early 5th century B.C.,  Culture: Greek Rhodian,  Medium: Back venting: top is,  Dimensions: H. 11 7/8 in. (30.2 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1906,  Accession Number: 06.1141
tempObjectNumber: 21, Title: Terracotta kantharos (drinking cup with two high handles),  Period: Archaic,  Date: 2nd half of the 6th century B.C.,  Culture: Greek Boeotian,  Medium: Terracotta; black-figure,  Dimensions: diameter  6 5/16in. (16.1cm),  Classification: Vases,  Credit Line: Rogers Fund 1966,  Accession Number: 66.11.2
tempObjectNumber: 22, Title: Vase fragment,  Period: Early Minoan II,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 3/4 × 1 7/8 × 1/4 in. (4.5 × 4.7 × 0.6 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.141
tempObjectNumber: 23, Title: Vase fragment,  Period: Early Minoan III,  Culture: Minoan,  Medium: Terracotta,  Dimensions: 1 1/2 × 1 11/16 × 3/16 in. (3.9 × 4.3 × 0.6 cm),  Classification: Vases,  Credit Line: Gift of the American Exploration Society 1907,  Accession Number: 07.232.80
tempObjectNumber: 24, Title: Marble fragment of a hero relief,  Period: Classical,  Date: late 5th century B.C.,  Culture: Greek Attic,  Medium: Marble Pentelic,  Dimensions: depth  3 3/4 in. (9.5 cm),  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1924,  Accession Number: 24.97.98
tempObjectNumber: 25, Title: Amphora,  Period: Iron Age,  Date: ca. 1050–900 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: H.: 15 1/4 in. (38.7 cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.969
tempObjectNumber: 26, Title: Intaglio veiled head of a woman in the round ?,  Period: Imperial,  Date: 1st–2nd century A.D.,  Culture: Roman,  Medium: Agate,  Dimensions: Other: 1 1/8 x 13/16 x 1 in. (2.9 x 2.1 x 2.5 cm),  Classification: Gems,  Credit Line: Purchase by subscription 1896,  Accession Number: 96.18.177
tempObjectNumber: 27, Title: Spindle whorl,  Medium: Faience,  Dimensions: Height: 13/16 x 1 in. (2.1 x 2.5 cm),  Classification: Miscellaneous-Faience,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5067
tempObjectNumber: 28, Title: Glass square jar,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; mold-blown,  Dimensions: H.: 3 1/2 in. (8.9 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.253
tempObjectNumber: 29, Title: Limestone funerary stele with volutes and a Hathor head,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 23 3/4 x 19 x 4 1/2 in. (60.3 x 48.3 x 11.4 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2494
tempObjectNumber: 30, Title: Dish,  Period: Archaic or Classical,  Date: ca. 550–450 B.C.,  Culture: Italic-Native South Italian (Daunian),  Medium: Terracotta,  Dimensions: H. 3.99 cm. Diameter 13.9 cm.,  Classification: Vases,  Credit Line: Purchase 1966,  Accession Number: 66.11.8
tempObjectNumber: 31, Title: Glass jug with spout,  Period: Mid Imperial,  Date: 2nd–3rd century A.D.,  Culture: Roman,  Medium: Glass; blown and tooled,  Dimensions: H.: 4 5/8 in. (11.7 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.255
tempObjectNumber: 32, Title: Fragment of a terracotta plate,  Period: Archaic,  Date: 6th century B.C.,  Culture: East Greek Clazomenian,  Medium: Terracotta,  Dimensions: 3 3/16 × 3 1/2 × 7/16 in. (8 × 9 × 1.1 cm),  Classification: Vases,  Credit Line: Acquired by exchange from The University Museum Philadelphia 1955,  Accession Number: 55.71.10
tempObjectNumber: 33, Title: Terracotta mold fragment,  Date: ca. 2nd century A.D.,  Culture: Roman,  Medium: Terracotta,  Dimensions: 2 1/8 × 1 5/8 × 1/2 in. (5.3 × 4.2 × 1.3 cm),  Classification: Vases,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.2130a
tempObjectNumber: 34, Title: Fragment of a terracotta head of a satyr,  Period: Classical,  Date: 4th century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: H. 4 in. (10.16 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1910,  Accession Number: 10.210.125
tempObjectNumber: 35, Title: Tankard,  Period: Bronze Age,  Date: 1600–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: 11in. (28cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1059
tempObjectNumber: 36, Title: Cup with frieze of Erotes,  Period: Early Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Ivory,  Classifications: Miscellaneous-Bone Ivory,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.190.64
tempObjectNumber: 37, Title: Lentoid glass amphoriskos,  Period: Eraly Imperial,  Date: 1st century A.D.,  Culture: Roman,  Medium: Glass; blown in a two-part mold,  Dimensions: Overall: 3 x 2 1/8 x 1 1/2 in. (7.6 x 5.4 x 3.8 cm),  Classification: Glass,  Credit Line: Gift of Henry G. Marquand 1881,  Accession Number: 81.10.230
tempObjectNumber: 38, Title: Terracotta nude female statuette perhaps Aphrodite,  Period: Hellenistic,  Date: 3rd century B.C.,  Culture: Greek South Italian Tarentine,  Medium: Terracotta,  Dimensions: H. 8 3/8 in. (21.3 cm),  Classification: Terracottas,  Credit Line: Rogers Fund 1911,  Accession Number: 11.212.25
tempObjectNumber: 39, Title: Fragmentary marble inscription,  Period: Late Classical,  Date: 4th–3rd century B.C.,  Culture: Greek Attic,  Medium: Marble,  Dimensions: H.3 1/2" W.3 3/4" D.2",  Classification: Stone Sculpture,  Credit Line: Fletcher Fund 1926,  Accession Number: 26.60.8
tempObjectNumber: 40, Title: Bronze statuette (of a woman?),  Period: Geometric,  Date: 9th–8th century B.C.,  Culture: Etruscan,  Medium: Bronze,  Dimensions: H.: 1 7/8 in. (4.8 cm),  Classification: Bronzes,  Credit Line: Purchase 1896,  Accession Number: 96.9.265
tempObjectNumber: 41, Title: Pinhead,  Date: 1st century B.C.–5th century A.D.,  Culture: Roman,  Medium: Glass,  Dimensions: Height: 1/4 x 3/4 in. (0.6 x 1.9 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.612
tempObjectNumber: 42, Title: Earrings,  Culture: Cypriot,  Medium: Gold,  Dimensions: Other: 1/2 x 5/16 x 13/16 in. (1.3 x 0.8 x 2.1 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.3173
tempObjectNumber: 43, Title: Limestone incense burner on four legs,  Period: Cypro-Archaic,  Date: 6th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 4 x 2 3/4 x 2 3/4 in. (10.2 x 7 x 7 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.5181
tempObjectNumber: 44, Title: Vase fragment,  Period: Early Helladic,  Date: ca. 3000–2000 B.C.,  Culture: Aegean,  Medium: Terracotta,  Dimensions: Other: 1 9/16in. (3.9cm),  Classification: Vases,  Credit Line: Anonymous Gift 1930,  Accession Number: 30.119.97
tempObjectNumber: 45, Title: Limestone recumbant lion,  Period: Cypro-Classical,  Date: second half of the 5th century B.C.,  Culture: Cypriot,  Medium: Limestone,  Dimensions: Overall: 18 1/2 x 32 1/2 x 9 1/2 in. (47 x 82.6 x 24.1 cm),  Classification: Stone Sculpture,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.2868
tempObjectNumber: 46, Title: Beads 5,  Culture: Roman,  Medium: Glass,  Dimensions: Other: 5/8 x 3 7/16 in. (1.7 x 8.7 cm),  Classification: Glass,  Credit Line: Gift of J. Pierpont Morgan 1917,  Accession Number: 17.194.485
tempObjectNumber: 47, Title: Bowl,  Period: Late Cypriot,  Date: 1600–1050 B.C.,  Culture: Cypriot,  Medium: Terracotta,  Dimensions: Other: 12 1/4in. (31.1cm),  Classification: Vases,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.1017
tempObjectNumber: 48, Title: Bronze dagger,  Period: Middle Minoan III-Late Minoan I,  Date: ca. 1750–1450 B.C.,  Culture: Minoan,  Medium: Bronze,  Dimensions: L. 9 3/9 in. (23.8 cm),  Classification: Bronzes,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.485
tempObjectNumber: 49, Title: Agate Lentoid,  Period: Late Minoan II–IIIA,  Date: ca. 1450–1375 B.C.,  Culture: Minoan,  Medium: Agate,  Dimensions: H.: 13/16 in. (2 cm),  Classification: Gems,  Credit Line: Bequest of Richard B. Seager 1926,  Accession Number: 26.31.290
tempObjectNumber: 50, Title: Disk perforated,  Medium: Lapis lazuli,  Dimensions: Other: 5/8 x 9/16 x 5/16 in. (1.5 x 1.4 x 0.8 cm),  Classification: Gold and Silver,  Credit Line: The Cesnola Collection Purchased by subscription 1874–76,  Accession Number: 74.51.4456
